NewAuthorId	issn	Year0	left	right	BeforeCount	AfterCount	BeSpan	AfSpan	AfAvg	BeAvg
2628	15723089	2009	2005	2014	1.0	4.0	5	5	0.8	0.2
4928	00381098	2009	2005	2010	2.0	0.0	5	1	0.0	0.4
5063	00472727	2004	2000	2009	5.0	3.0	5	5	0.6	1.0
6343	00452068	2007	2003	2012	1.0	0.0	5	5	0.0	0.2
7163	00224359	2005	2001	2010	3.0	1.0	5	5	0.2	0.6
8347	01679457	1993	1989	1998	3.0	5.0	5	5	1.0	0.6
25914	08826110	2007	2003	2012	3.0	6.0	5	5	1.2	0.6
26127	00043702	2012	2008	2017	1.0	1.0	5	5	0.2	0.2
26765	00224405	2010	2006	2015	1.0	8.0	5	5	1.6	0.2
29286	10429573	2008	2004	2013	1.0	0.0	5	5	0.0	0.2
32808	03043975	2010	2006	2015	2.0	0.0	5	5	0.0	0.4
32895	00401625	1978	1974	1983	5.0	2.0	5	5	0.4	1.0
33034	01401963	2011	2007	2016	5.0	1.0	5	5	0.2	1.0
33864	01677152	2012	2008	2017	3.0	0.0	5	5	0.0	0.6
35757	09626298	2010	2006	2015	1.0	1.0	5	5	0.2	0.2
41743	00219045	2007	2003	2012	1.0	4.0	5	5	0.8	0.2
42200	10983015	2010	2006	2015	1.0	0.0	5	5	0.0	0.2
44870	08920362	2010	2006	2013	5.0	2.0	5	3	0.6666666666666666	1.0
52154	00043702	1995	1991	2000	4.0	5.0	5	5	1.0	0.8
53578	03787206	2012	2008	2017	1.0	0.0	5	5	0.0	0.2
56581	00043702	2008	2004	2013	1.0	2.0	5	5	0.4	0.2
56751	00092614	2012	2008	2017	1.0	1.0	5	5	0.2	0.2
59416	0094730X	2011	2007	2013	1.0	0.0	5	2	0.0	0.2
61338	03784266	2005	2001	2007	2.0	0.0	5	2	0.0	0.4
64572	10499644	2006	2002	2011	4.0	6.0	5	5	1.2	0.8
65414	15723089	2009	2005	2014	1.0	1.0	5	5	0.2	0.2
68162	02552701	2005	2001	2007	2.0	0.0	5	2	0.0	0.4
68162	09591524	2009	2005	2014	6.0	7.0	5	5	1.4	1.2
69515	07430167	2011	2007	2016	1.0	0.0	5	5	0.0	0.2
72809	02613794	2008	2004	2013	2.0	1.0	5	5	0.2	0.4
76072	00405809	2008	2004	2013	2.0	0.0	5	5	0.0	0.4
77450	01654101	2007	2003	2011	2.0	0.0	5	4	0.0	0.4
79689	01692070	1992	1988	1996	3.0	2.0	5	4	0.5	0.6
85248	03044076	2007	2003	2012	1.0	1.0	5	5	0.2	0.2
85887	03044076	2006	2002	2011	1.0	2.0	5	5	0.4	0.2
85966	15674223	2004	2000	2009	1.0	0.0	5	5	0.0	0.2
86031	02726963	2011	2007	2016	1.0	0.0	5	5	0.0	0.2
86686	00043702	2006	2002	2011	4.0	0.0	5	5	0.0	0.8
91392	00165085	2010	2006	2015	30.0	20.0	5	5	4.0	6.0
92581	07408188	2006	2002	2011	2.0	2.0	5	5	0.4	0.4
93260	07317085	2005	2001	2010	5.0	2.0	5	5	0.4	1.0
95345	02632241	1992	1991	1997	1.0	2.0	2	5	0.4	0.5
96974	07380593	2008	2004	2013	2.0	1.0	5	5	0.2	0.4
100133	18735061	2012	2008	2017	1.0	0.0	5	5	0.0	0.2
105700	03784266	2004	2000	2007	1.0	1.0	5	3	0.3333333333333333	0.2
107861	00472727	2006	2002	2011	3.0	0.0	5	5	0.0	0.6
109621	09333657	2005	2001	2010	1.0	0.0	5	5	0.0	0.2
110666	1570677X	2013	2009	2018	3.0	4.0	5	5	0.8	0.6
111428	03605442	2013	2009	2016	10.0	2.0	5	3	0.6666666666666666	2.0
111428	13640321	2013	2009	2018	1.0	0.0	5	5	0.0	0.2
111433	01676911	2007	2003	2012	3.0	2.0	5	5	0.4	0.6
113088	00160032	1975	1971	1980	1.0	0.0	5	5	0.0	0.2
113257	00988472	2009	2005	2014	1.0	5.0	5	5	1.0	0.2
115408	00405809	2011	2007	2016	2.0	1.0	5	5	0.2	0.4
117130	00221996	1984	1980	1989	1.0	2.0	5	5	0.4	0.2
117242	10909516	2012	2008	2017	1.0	0.0	5	5	0.0	0.2
118418	03784266	2012	2008	2017	1.0	5.0	5	5	1.0	0.2
123913	08920362	2003	1999	2004	5.0	0.0	5	1	0.0	1.0
128334	01681699	2009	2005	2011	3.0	0.0	5	2	0.0	0.6
128464	09546111	1997	1993	1999	2.0	1.0	5	2	0.5	0.4
130154	01672789	2010	2006	2011	2.0	2.0	5	1	2.0	0.4
132622	03043975	2009	2005	2014	5.0	2.0	5	5	0.4	1.0
132816	09658564	1993	1989	1996	1.0	1.0	5	3	0.3333333333333333	0.2
135670	00902616	2005	2001	2010	1.0	0.0	5	5	0.0	0.2
136020	00941190	2008	2004	2013	3.0	1.0	5	5	0.2	0.6
136020	01660462	2011	2007	2016	3.0	2.0	5	5	0.4	0.6
140104	01654101	2007	2003	2012	1.0	1.0	5	5	0.2	0.2
144745	01761617	2003	1999	2008	1.0	0.0	5	5	0.0	0.2
144948	09565221	2008	2004	2012	1.0	0.0	5	4	0.0	0.2
146811	00262692	2006	2002	2008	1.0	0.0	5	2	0.0	0.2
149132	01968858	2003	1999	2008	7.0	3.0	5	5	0.6	1.4
151583	03032434	2011	2007	2016	1.0	0.0	5	5	0.0	0.2
151792	01677187	2004	2000	2009	1.0	1.0	5	5	0.2	0.2
152466	08839026	2008	2004	2013	2.0	3.0	5	5	0.6	0.4
152773	01429612	1993	1989	1997	4.0	2.0	5	4	0.5	0.8
154605	10416080	2011	2007	2016	5.0	5.0	5	5	1.0	1.0
159025	15723127	2009	2005	2014	1.0	0.0	5	5	0.0	0.2
159712	03601323	2011	2007	2016	8.0	13.0	5	5	2.6	1.6
160016	09666923	2010	2006	2015	1.0	4.0	5	5	0.8	0.2
160525	01654896	1990	1986	1995	1.0	2.0	5	5	0.4	0.2
162007	01409883	1979	1975	1984	2.0	3.0	5	5	0.6	0.4
162157	00221996	2010	2006	2015	2.0	0.0	5	5	0.0	0.4
162280	00487333	2004	2000	2009	1.0	3.0	5	5	0.6	0.2
162463	01471767	2011	2007	2016	4.0	3.0	5	5	0.6	0.8
162747	01678116	2005	2001	2010	1.0	1.0	5	5	0.2	0.2
164960	01410296	2012	2008	2017	9.0	6.0	5	5	1.2	1.8
167145	07408188	2008	2004	2010	2.0	2.0	5	2	1.0	0.4
169336	00086223	1962	1958	1967	1.0	0.0	5	5	0.0	0.2
173481	08936080	2008	2004	2013	3.0	3.0	5	5	0.6	0.6
173631	00142921	1993	1989	1994	4.0	2.0	5	1	2.0	0.8
176745	01482963	2011	2007	2016	1.0	3.0	5	5	0.6	0.2
176798	01448188	2007	2003	2011	1.0	0.0	5	4	0.0	0.2
182391	07418329	2005	2001	2010	1.0	1.0	5	5	0.2	0.2
183786	17401445	2005	2001	2010	2.0	4.0	5	5	0.8	0.4
185785	00221996	1993	1989	1995	1.0	0.0	5	2	0.0	0.2
186718	00224359	2007	2003	2011	1.0	0.0	5	4	0.0	0.2
188651	01681923	2010	2006	2015	8.0	4.0	5	5	0.8	1.6
188784	00221996	2010	2006	2011	1.0	0.0	5	1	0.0	0.2
191844	09643397	2008	2004	2013	3.0	3.0	5	5	0.6	0.6
192630	10452354	2008	2004	2013	1.0	1.0	5	5	0.2	0.2
195082	10575219	2011	2007	2016	4.0	2.0	5	5	0.4	0.8
198887	09505849	2006	2002	2011	4.0	5.0	5	5	1.0	0.8
201985	02613794	2012	2008	2016	4.0	2.0	5	4	0.5	0.8
203869	00222852	2005	2001	2007	4.0	1.0	5	2	0.5	0.8
209885	18793665	2010	2006	2015	1.0	0.0	5	5	0.0	0.2
210530	14784092	2013	2009	2018	2.0	0.0	5	5	0.0	0.4
211983	01668641	2006	2002	2011	10.0	4.0	5	5	0.8	2.0
213763	0093691X	2007	2004	2012	8.0	11.0	4	5	2.2	2.0
213868	00246301	2003	1999	2008	2.0	0.0	5	5	0.0	0.4
213906	0885064X	2004	2000	2009	4.0	2.0	5	5	0.4	0.8
214330	01912615	2010	2006	2015	1.0	0.0	5	5	0.0	0.2
215421	01602896	2012	2008	2017	5.0	1.0	5	5	0.2	1.0
218988	01678396	2006	2002	2008	6.0	0.0	5	2	0.0	1.2
219537	03050548	2007	2003	2012	2.0	3.0	5	5	0.6	0.4
219932	15216616	2004	2000	2009	5.0	13.0	5	5	2.6	1.0
221810	01660462	2010	2006	2015	2.0	0.0	5	5	0.0	0.4
222700	01429612	2011	2007	2016	10.0	13.0	5	5	2.6	2.0
222894	03044076	1983	1979	1988	1.0	1.0	5	5	0.2	0.2
225345	01403664	2008	2004	2009	5.0	1.0	5	1	1.0	1.0
225732	02680033	2013	2009	2017	1.0	1.0	5	4	0.25	0.2
226720	17511577	2008	2004	2013	5.0	27.0	5	5	5.4	1.0
226983	00142921	2004	2000	2009	1.0	1.0	5	5	0.2	0.2
231468	15674223	2007	2003	2012	1.0	3.0	5	5	0.6	0.2
234046	01907409	2008	2004	2013	6.0	1.0	5	5	0.2	1.2
246790	01676245	2007	2003	2012	2.0	1.0	5	5	0.2	0.4
248245	07380593	2011	2007	2013	1.0	0.0	5	2	0.0	0.2
255139	03770427	1986	1982	1991	2.0	0.0	5	5	0.0	0.4
256644	00472727	2004	2000	2005	1.0	0.0	5	1	0.0	0.2
256767	01681923	2007	2003	2012	4.0	9.0	5	5	1.8	0.8
261751	03043975	2006	2002	2010	1.0	0.0	5	4	0.0	0.2
262554	02666138	2008	2004	2013	3.0	2.0	5	5	0.4	0.6
262962	01676245	2007	2003	2010	1.0	2.0	5	3	0.6666666666666666	0.2
262971	01602896	2012	2008	2017	6.0	8.0	5	5	1.6	1.2
265538	03787788	2009	2005	2014	9.0	22.0	5	5	4.4	1.8
266212	13899341	2004	2000	2009	2.0	3.0	5	5	0.6	0.4
266280	01671987	2011	2007	2012	3.0	0.0	5	1	0.0	0.6
267752	07400020	2011	2007	2016	5.0	3.0	5	5	0.6	1.0
269823	02680033	1992	1988	1997	5.0	1.0	5	5	0.2	1.0
271901	03050548	2013	2009	2018	10.0	4.0	5	5	0.8	2.0
273841	07365845	1986	1982	1991	1.0	1.0	5	5	0.2	0.2
274273	00198501	2009	2005	2010	2.0	1.0	5	1	1.0	0.4
274273	02632373	2011	2007	2014	1.0	0.0	5	3	0.0	0.2
278913	01403664	2007	2003	2012	1.0	1.0	5	5	0.2	0.2
278913	13891286	2004	2000	2009	2.0	0.0	5	5	0.0	0.4
280093	00219290	2007	2003	2010	6.0	3.0	5	3	1.0	1.2
289704	01452134	1981	1977	1986	3.0	2.0	5	5	0.4	0.6
291830	02755319	2005	2001	2010	1.0	0.0	5	5	0.0	0.2
292050	03091708	2013	2009	2018	1.0	4.0	5	5	0.8	0.2
292744	01409883	2012	2008	2014	6.0	1.0	5	2	0.5	1.2
294288	08876185	2006	2002	2011	4.0	3.0	5	5	0.6	0.8
296212	01678116	1987	1983	1992	1.0	1.0	5	5	0.2	0.2
297947	03043878	2011	2007	2014	1.0	2.0	5	3	0.6666666666666666	0.2
299402	00283908	2004	2000	2009	2.0	1.0	5	5	0.2	0.4
299818	0885064X	2004	2000	2009	4.0	2.0	5	5	0.4	0.8
300095	09696989	2011	2007	2016	1.0	1.0	5	5	0.2	0.2
300686	1570677X	2011	2007	2014	1.0	0.0	5	3	0.0	0.2
301066	00198501	2010	2006	2015	1.0	1.0	5	5	0.2	0.2
301801	09275371	2003	1999	2008	1.0	0.0	5	5	0.0	0.2
306306	09696997	2003	1999	2008	2.0	1.0	5	5	0.2	0.4
306410	17034949	2012	2008	2017	1.0	0.0	5	5	0.0	0.2
306492	03050548	2007	2003	2012	3.0	3.0	5	5	0.6	0.6
306492	03772217	2007	2003	2012	1.0	4.0	5	5	0.8	0.2
309612	01912615	2012	2008	2017	15.0	9.0	5	5	1.8	3.0
310874	01660462	2011	2007	2016	1.0	1.0	5	5	0.2	0.2
310874	03044076	2005	2001	2010	2.0	3.0	5	5	0.6	0.4
313430	01650114	1991	1987	1996	2.0	3.0	5	5	0.6	0.4
315677	00198501	2011	2007	2016	1.0	5.0	5	5	1.0	0.2
317204	09565221	2006	2002	2011	3.0	1.0	5	5	0.2	0.6
321576	00221996	2010	2006	2015	1.0	0.0	5	5	0.0	0.2
325083	01676393	1992	1988	1997	1.0	3.0	5	5	0.6	0.2
328089	00472727	2011	2007	2014	1.0	0.0	5	3	0.0	0.2
328089	00941190	2008	2004	2012	1.0	2.0	5	4	0.5	0.2
330442	00401625	2011	2007	2016	1.0	4.0	5	5	0.8	0.2
332342	08904065	2012	2008	2017	1.0	2.0	5	5	0.4	0.2
334733	00051098	2012	2008	2017	3.0	14.0	5	5	2.8	0.6
335729	09699961	2006	2002	2011	2.0	2.0	5	5	0.4	0.4
338162	09639969	1992	1988	1994	2.0	0.0	5	2	0.0	0.4
339691	01672789	2004	2000	2006	1.0	0.0	5	2	0.0	0.2
339977	15660141	2006	2002	2011	1.0	0.0	5	5	0.0	0.2
