	original	normalized
0	editor- in- chief	editor in chief
1	editorial board	editorial board
2	editor-in-chief	editor in chief
3	associate editors	associate editor
4	founding editor	founding editor
5	editors-in-chief	editor in chief
6	editorial board members	editorial board member
7	co-editors	co editor
8	advisory board of part a: econometrics	advisory board of part a: econometrics
9	advisory board of part b: statistics	advisory board of part b: statistics
10	associate editors of part a: econometrics	associate editor of part a: econometrics
11	associate editors of part b: statistics	associate editor of part b: statistics
12	handling editors	handling editor
13	advisory editors	advisory editor
14	managing editor	managing editor
15	associate editor	associate editor
16	editors	editor
17	advisory board	advisory board
18	members of editorial board	member of editorial board
19	editor in chief	editor in chief
20	editorial board member	editorial board member
21	editorial office	editorial office
22	editor-in-chief	editor in chief
23	editorial staff	editorial staff
24	section editor	section editor
25	executive board	executive board
26	honorary editors	honorary editor
27	managing editors	managing editor
28	image quiz editors	image quiz editor
29	editorial review board	editorial review board
30	editorial advisory board	editorial advisory board
31	president	president
32	president-elect	president elect
33	secretary	secretary
34	treasurer	treasurer
35	past presidents	past presidents
36	councilors	councilors
37	asge foundation chair	asge foundation chair
38	co-editor-in-chief	co editor in chief
39	section editors	section editor
40	former editor	former editor
41	technical editors	technical editor
42	scientific editors	scientific editor
43	deputy editor-in-chief	deputy editor in chief
44	members scientific advisory board	member scientific advisory board
45	editor-in-chief	editor in chief
46	editors	editor
47	associate editor	associate editor
48	board	board
49	journal manager	journal manager
50	co-editors	co editor
51	assistant editors	assistant editor
52	founding editors	founding editor
53	deputy editor	deputy editor
54	executive editor	executive editor
55	social media editor	social media editor
56	statistical reviewers	statistical reviewers
57	senior editors	senior editor
58	editor emeritus	editor emeritus
59	associate managing editors	associate managing editor
60	advisory editor	advisory editor
61	assistant editor	assistant editor
62	editor	editor
63	advisory editorial board	advisory editorial board
64	editorial advisors	editorial advisors
65	editorial review board members	editorial review board member
66	editorial manager	editorial manager
67	editorial assistants	editorial assistants
68	co-editors-in-chief	co editor in chief
69	executive editors	executive editor
70	senior editor	senior editor
71	deputy editors	deputy editor
72	editorial committee	editorial committee
