DisplayName	JournalId	issn
Theoretical Population Biology	17807283	00405809
International Journal of Multiphase Flow	18204665	03019322
Food Microbiology	50630504	07400020
Hearing Research	82774605	03785955
Transportation Research Part B-methodological	96305778	01912615
Progress in Lipid Research	108758393	01637827
Journal of Manufacturing Processes	120037611	15266125
Journal of English for Academic Purposes	145743673	14751585
Theoretical and Applied Fracture Mechanics	179906512	01678442
Oral Oncology	102916872	13688375
Physics Letters A	104875562	03759601
Space Policy	134585236	02659646
Fuzzy Sets and Systems	169411308	01650114
Gastroenterology Clinics of North America	177107850	08898553
Energy for Sustainable Development	186823356	09730826
Organizational Dynamics	195297104	00902616
Discrete Optimization	203549655	15725286
Journal of Clinical Tuberculosis and Other Mycobacterial Diseases	2898488464	24055794
Chemical Engineering Journal	149937609	13858947
Advances in Pediatrics	158688538	00653101
New Ideas in Psychology	158706580	0732118X
European Journal of Medical Genetics	160362754	17697212
Journal of Psychiatric Research	160879026	00223956
Environmental Impact Assessment Review	167829764	01959255
Addictive Behaviors	186215666	03064603
Radiology of Infectious Diseases	2764345763	23526211
Research in International Business and Finance	8133038	02755319
Journal of Applied Mathematics and Mechanics	67807940	00218928
Food Chemistry	98026630	03088146
Arab Journal of Gastroenterology	106979931	16871979
Canadian Journal of Cardiology	126162762	0828282X
Journal of Sustainable Mining	2764831130	23003960
Journal of South American Earth Sciences	27476350	08959811
Journal of Magnetic Resonance	90573847	10907807
Nuclear Engineering and Design	102681701	00295493
Leukemia Research	136942575	01452126
Biosystems Engineering	65230043	15375110
Journal of Loss Prevention in The Process Industries	97378760	09504230
Journal of Algorithms	110520077	01966774
Progress in Retinal and Eye Research	138587161	13509462
Process Biochemistry	173499201	13595113
Journal of Equine Veterinary Science	180849759	07370806
Continental Shelf Research	181119423	02784343
Tourism Management Perspectives	2764590662	22119736
Current Opinion in Pharmacology	13215328	14714892
Brachytherapy	38112244	15384721
Marine Micropaleontology	49668954	03778398
Cell Calcium	80202938	01434160
Air Medical Journal	117141055	1067991X
Insect Biochemistry and Molecular Biology	130917594	09651748
Brain and Cognition	140592201	02782626
Basal ganglia	2764647395	22105336
Journal of Stomatology, Oral and Maxillofacial Surgery	2898482364	24687855
Marine Chemistry	1650486	03044203
Journal of Process Control	96000363	09591524
Environmental Toxicology and Pharmacology	108944336	13826689
Journal of Marine Systems	195909765	09247963
Sustainable Computing: Informatics and Systems	2764953436	22105379
Journal of Radiology Nursing	42421247	15460843
Biochemical Systematics and Ecology	93466130	03051978
Journal of Mathematical Analysis and Applications	151579836	0022247X
Clinical Neurology and Neurosurgery	165396890	03038467
Journal of Nutrition Education and Behavior	206696595	14994046
urban climate	2764899123	22120955
Meat Science	9483105	03091740
Journal of Network and Computer Applications	30128005	10848045
Journal of Multinational Financial Management	92422469	1042444X
Current Opinion in Neurobiology	120775027	09594388
European Journal of Soil Biology	126894729	11645563
JACC: Basic to Translational Science	2898156683	2452302X
Complementary Therapies in Medicine	7715451	09652299
Forensic Science International	15336283	03790738
Sleep Medicine Reviews	28482811	10870792
Cytotherapy	36838616	14653249
International Journal of Medical Informatics	53142634	13865056
Differential Geometry and Its Applications	100028386	09262245
Journal of Membrane Science	119469986	03767388
Cities	137445289	02642751
International Journal of Pressure Vessels and Piping	14064848	03080161
