issn	issue	title	editorName	editorAff	date	Year
1744117X	Volume 15	editor-in-chief	m rise	memorial university of newfoundland, newfoundland and labrador, canada	20150901	2015
1744117X	Volume 15	emeritus editor-in-chief	t p mommsen	university of victoria, victoria, bc, canada	20150901	2015
1744117X	Volume 15	editorial board	j altimiras	linkoping university, sweden	20150901	2015
1744117X	Volume 15	editorial board	g anderson	university of manitoba, winnipeg, manitoba, canada	20150901	2015
1744117X	Volume 15	editorial board	n j bernier	university of guelph, guelph, on, canada	20150901	2015
1744117X	Volume 15	editorial board	d buchwalter	north carolina state university, raleigh, nc, usa	20150901	2015
1744117X	Volume 15	editorial board	p else	university of wollongong, wollongong, nsw, australia	20150901	2015
1744117X	Volume 15	editorial board	e fabbri	universita di bologna, ravenna, italy	20150901	2015
1744117X	Volume 15	editorial board	p fields	franklin and marshall college, lancaster pa, usa	20150901	2015
1744117X	Volume 15	editorial board	c martyniuk	college of veterinary medicine university of florida, gainesville, fl, usa	20150901	2015
1744117X	Volume 15	editorial board	d l mykles	colorado state university, fort collins, co, usa	20150901	2015
1744117X	Volume 15	editorial board	h a shiels	university of manchester, manchester, uk	20150901	2015
1744117X	Volume 15	editorial board	a viarengo	universita degli studi del piemonte orientale, alessandria, italy	20150901	2015
1744117X	Volume 15	editorial board	b m barnes	university of alaska fairbanks, fairbanks, ak, usa	20150901	2015
1744117X	Volume 15	editorial board	m berenbrink	university of liverpool, liverpool, uk	20150901	2015
1744117X	Volume 15	editorial board	f bozinovic	pontificia universidad cata3lica de chile	20150901	2015
1744117X	Volume 15	editorial board	k brix	university of british columbia, vancouver, bc, canada	20150901	2015
1744117X	Volume 15	editorial board	l t buck	university of toronto, toronto on, canada	20150901	2015
1744117X	Volume 15	editorial board	c bucking	york university, toronto, canada	20150901	2015
1744117X	Volume 15	editorial board	b buckley	york university, toronto, canada	20150901	2015
1744117X	Volume 15	editorial board	k g burnett	college of charleston, charleston, sc, usa	20150901	2015
1744117X	Volume 15	editorial board	l e burnett	grice marine laboratory, charleston, sc, usa	20150901	2015
1744117X	Volume 15	editorial board	n r bury	kingaeur(tm)s college london, london, uk	20150901	2015
1744117X	Volume 15	editorial board	k campbell	university of manitoba, winnipeg, mb, canada	20150901	2015
1744117X	Volume 15	editorial board	j m conlon	united arab emirates	20150901	2015
1744117X	Volume 15	editorial board	university alain	united arab emirates c. cooper, curtin university, perth, western australia	20150901	2015
1744117X	Volume 15	editorial board	p craig	university of waterloo, canada	20150901	2015
1744117X	Volume 15	editorial board	d crossley	university of north texas, denton, tx, usa	20150901	2015
1744117X	Volume 15	editorial board	s currie	mount allison university, sackville, nb, canada	20150901	2015
1744117X	Volume 15	editorial board	s l edwards	appalachian state university, boone, nc, usa	20150901	2015
1744117X	Volume 15	editorial board	f geiser	university of new england, armidale, nsw, australia	20150901	2015
1744117X	Volume 15	editorial board	d german	university of california at irvine, irvine, ca, usa	20150901	2015
1744117X	Volume 15	editorial board	t gillis	university of guelph, guelph, canada	20150901	2015
1744117X	Volume 15	editorial board	k m gilmour	university of ottawa, ottawa, on, canada	20150901	2015
1744117X	Volume 15	editorial board	c n glover	university of canterbury, christchurch, new zealand	20150901	2015
1744117X	Volume 15	editorial board	k greenlee	north dakota state university, fargo, nd, usa	20150901	2015
1744117X	Volume 15	editorial board	h guderley	universita(c) laval, qua(c)bec, qc, canada	20150901	2015
