NewAuthorId	Yfp	Ylp	Parent
8823	1981	1989	144024400
9499	1985	2017	71924100
41274	2008	2016	185592680
47932	2004	2010	192562407
50362	2003	2018	86803240
60680	2002	2017	86803240
70662	2000	2000	17744445
75839	1999	2018	95457728
81310	1998	2000	185592680
89675	1997	2010	71924100
89866	1989	1995	71924100
100408	1988	2018	86803240
101674	1987	2018	86803240
110893	1995	2018	121332964
117889	1994	2015	86803240
119127	1985	1985	71924100
122758	1993	2013	41008148
142427	1992	2018	185592680
146468	1983	2018	71924100
161439	1991	2010	185592680
166977	1990	2017	33923547
175321	1981	2012	41008148
178269	1980	2012	17744445
178413	1989	2018	71924100
196176	1979	2009	185592680
197699	1977	2018	185592680
202108	1988	1992	121332964
218988	1978	2018	33923547
222809	1987	2018	121332964
235261	1976	2008	138885662
253252	1974	2018	86803240
257893	2002	2018	41008148
264498	1975	1985	127413603
265402	1985	1997	41008148
294849	1973	2015	162324750
307068	1970	1970	17744445
317909	1983	2018	86803240
328338	1976	1976	121332964
334216	1981	2018	162324750
357832	1989	2016	127413603
369046	2004	2006	185592680
378922	1971	1983	15744967
381734	1980	2007	185592680
419558	1977	1978	86803240
420579	1979	2018	185592680
433709	2002	2002	185592680
437865	1977	2018	86803240
439912	1969	1977	185592680
454029	1977	1989	86803240
463789	1968	1990	185592680
535644	1976	2016	86803240
569356	2009	2011	71924100
571584	1974	2013	86803240
576066	2008	2008	71924100
605345	1985	2018	71924100
612434	1976	2011	71924100
642788	2007	2015	41008148
670037	1967	1967	86803240
680355	1974	1974	33923547
682849	1976	1976	185592680
759935	1975	1978	127413603
783226	2005	2011	71924100
783923	1974	1977	33923547
786409	1998	2013	41008148
878688	2004	2018	41008148
982168	1973	1973	185592680
989145	2004	2016	127413603
1002126	2003	2003	86803240
1089826	1973	2018	33923547
1114199	1997	2018	86803240
1117484	2003	2008	86803240
1191667	1973	2012	41008148
1194785	1970	1970	86803240
1241986	2002	2017	86803240
1357040	2002	2002	41008148
1461829	2001	2018	71924100
1540030	2008	2010	86803240
1554193	1995	2018	86803240
1573886	2000	2018	15744967
1749453	1994	1994	17744445
1766245	1971	2017	138885662
1818731	1964	1985	33923547
1840810	1998	2001	95457728
1890970	1999	2004	86803240
1994261	1998	1998	121332964
2156072	1995	2001	33923547
2171735	2001	2018	127413603
2187901	1969	1990	185592680
2208214	2004	2004	86803240
2213673	1995	1999	121332964
2215645	1993	2004	127413603
2225358	1989	1992	41008148
2269879	1994	1994	71924100
2290788	1968	2016	71924100
2311673	2000	2017	185592680
2331124	1992	2007	185592680
2353970	1968	1968	121332964
2387220	1968	1968	71924100
2402383	1989	1997	121332964
2534487	2003	2003	127313418
2554179	1997	1999	121332964
2575010	1988	1988	121332964
2627522	1976	1976	86803240
2672223	1993	2018	121332964
2704749	1998	1998	185592680
2718454	1997	1997	71924100
2766087	1999	1999	86803240
2791010	1992	1992	86803240
2804008	1977	1977	71924100
2846091	1987	2008	121332964
2860792	1974	1974	121332964
2878292	1996	1996	121332964
2987904	1976	1978	127313418
2997255	2002	2004	185592680
3018311	2009	2009	121332964
3051874	1995	1996	121332964
3056425	1985	1985	15744967
3069284	1989	1989	121332964
3092399	1973	2018	138885662
3093303	1995	2005	121332964
3185968	1994	1994	41008148
3190584	1912	2017	71924100
3339582	1995	2018	86803240
3396332	1994	1998	86803240
3399609	1912	1946	162324750
3539778	2008	2018	185592680
3598961	1985	2018	41008148
3621178	1988	2013	71924100
3653584	1985	2009	86803240
3664340	1974	1979	86803240
3678056	1970	1972	185592680
3702844	1990	2018	121332964
3788113	1964	2015	86803240
3891845	1994	2013	41008148
3894449	2009	2018	127413603
3907322	1997	2017	71924100
3924161	1989	2018	86803240
3927171	1971	1982	121332964
3954344	1989	1993	86803240
3958554	2000	2014	17744445
3961744	1973	2018	127413603
3964857	1981	1990	86803240
3967048	2007	2010	205649164
4009538	1989	2018	185592680
4018707	1993	1997	121332964
4023100	2008	2016	86803240
4028932	1983	1985	127313418
4031051	1988	1990	86803240
4055581	1996	1996	86803240
4072062	1983	2011	71924100
4101601	1993	1993	127413603
4106110	1981	1995	71924100
4134073	1992	1994	86803240
4197063	1999	2002	127413603
4282058	1998	2017	144133560
4398954	1969	1969	121332964
4411345	1981	1983	185592680
4454936	2007	2012	162324750
4477988	1995	2018	86803240
4556467	1981	1981	17744445
4587028	1988	1989	185592680
5307172	1985	2011	71924100
5328187	2005	2018	185592680
5333018	1987	2014	86803240
5342269	1992	1997	138885662
5368106	1994	2006	86803240
5386673	1995	2018	185592680
5397350	1985	1992	71924100
5473402	1980	2007	86803240
5492846	1989	1993	86803240
5507862	1991	2012	86803240
5564492	2008	2018	71924100
5628555	1998	2009	86803240
5652812	2004	2005	71924100
5673257	1994	2016	86803240
5693079	2005	2007	121332964
5709905	1991	2010	41008148
5755730	2007	2007	71924100
5756262	1990	2011	127413603
5761667	1988	1988	86803240
5806951	1979	2018	71924100
5822868	2009	2013	86803240
5831704	2003	2007	185592680
5842964	1968	2018	162324750
5843068	2004	2008	121332964
5882239	1997	2001	71924100
5884678	1990	1994	86803240
5909140	1993	2001	185592680
5928048	1985	1986	86803240
5957465	1992	2018	127413603
5984971	2008	2009	127413603
6049572	1989	1989	17744445
6054927	1978	1990	86803240
6066813	1981	1988	192562407
6080606	1997	2005	86803240
6106863	1981	1984	86803240
6128224	2003	2018	71924100
6136434	1985	2005	185592680
6143662	2000	2000	41008148
6171019	1993	2018	86803240
6184793	1989	2018	33923547
6209458	2002	2018	41008148
6211491	2005	2015	86803240
6232487	2007	2007	33923547
6233220	1976	1976	192562407
6253550	1995	2016	33923547
6263190	1992	1996	121332964
6279536	2004	2004	33923547
6292716	1988	2004	86803240
6294910	1977	1977	86803240
6354562	1999	2002	71924100
6360891	1991	1991	41008148
6403172	2004	2018	86803240
6404183	1998	2011	17744445
6437986	1983	2001	86803240
6446525	1994	1995	185592680
6468720	2001	2004	33923547
6473131	2002	2003	86803240
6509820	1976	1976	86803240
6517214	1968	1979	86803240
6544329	1976	2000	86803240
6590989	1987	2012	121332964
6604643	1990	1990	71924100
6620134	1995	2008	192562407
6621500	2000	2018	86803240
6622953	1985	1989	121332964
6629463	1981	2007	185592680
6705583	1983	1996	71924100
6725746	2005	2005	95457728
6735184	2003	2018	86803240
6803265	1994	2000	86803240
6819804	2001	2018	86803240
6857744	1981	2018	17744445
6899249	2002	2018	162324750
6920774	1980	2010	86803240
6921051	2002	2011	86803240
6940832	1993	1997	121332964
6962035	2004	2017	41008148
6968025	1912	1917	17744445
6969135	1967	1970	127313418
6969468	2004	2018	17744445
6975374	2000	2014	71924100
6978134	1975	2018	185592680
6991019	1989	1992	121332964
6999439	1989	2009	71924100
7071523	1974	1975	86803240
7085088	1976	1978	86803240
7088439	1998	1998	41008148
7119960	2002	2016	33923547
7193752	1999	2002	86803240
7212485	1989	2008	86803240
7229915	1985	1993	185592680
7233679	1977	2010	185592680
7234796	1985	2017	71924100
7241443	1992	1993	185592680
7258172	1988	2018	121332964
7273247	1988	2012	86803240
7277889	1973	2018	71924100
7289302	1979	2018	71924100
7296171	2009	2018	41008148
7297285	1997	2016	71924100
7300351	1985	2000	185592680
7314477	2003	2009	71924100
7385223	1981	2018	71924100
7426095	1976	2018	41008148
7447298	1998	2014	41008148
7450369	1993	1993	86803240
7456309	1976	1988	41008148
7486047	1985	2004	71924100
7509759	1978	1986	185592680
7532213	1999	2017	185592680
7569268	2008	2018	15744967
7572545	1991	1992	192562407
7580536	1970	1981	15744967
7581181	2008	2018	71924100
7596454	1992	2018	192562407
7612883	2002	2018	127413603
7625696	1987	1987	15744967
7629090	1995	2018	185592680
7641531	1987	1995	121332964
7661027	1995	2018	162324750
7670821	1994	1995	71924100
7671320	2002	2008	185592680
7680824	2000	2012	17744445
7718726	1997	1998	17744445
7772237	1990	1995	86803240
7783336	1983	2018	71924100
7812034	2007	2008	86803240
7814957	1977	2009	86803240
7860748	1983	1984	71924100
7865229	1975	1976	71924100
7865711	1971	1977	138885662
7877895	1994	1994	71924100
7882851	1995	1998	41008148
7939626	1998	2010	71924100
7976596	1974	1976	121332964
7979572	1999	2015	86803240
7980814	2009	2014	86803240
7995744	2004	2014	127413603
8001747	1997	1997	192562407
8010156	1981	2018	33923547
8019193	2001	2002	127313418
8020813	1989	1990	185592680
8031660	1976	1978	121332964
8048244	1996	2005	86803240
8052098	1981	1981	86803240
8062691	1998	2000	71924100
8080009	1998	2007	86803240
8107557	1990	2018	86803240
8133523	1981	1992	192562407
8145993	2000	2000	71924100
8166737	1973	1973	185592680
8217718	1995	1995	71924100
8235253	1993	2016	144024400
8247935	2008	2014	185592680
8259884	1976	1983	86803240
8269960	1993	1997	192562407
8280312	1980	2007	86803240
8284016	1981	2000	185592680
8295326	1985	2018	71924100
8302372	1969	1991	185592680
8307448	1985	2018	192562407
8311703	2005	2008	127413603
8323649	2002	2018	86803240
8364723	1980	1981	86803240
8370582	2004	2010	185592680
8374375	1996	2001	86803240
8375368	1988	1992	185592680
8390755	1992	1996	71924100
8394309	1964	1968	121332964
8416907	1994	1999	86803240
8425798	1997	2000	144024400
8450023	1975	1978	17744445
8481259	1989	1990	71924100
8481536	2007	2013	71924100
8497461	1970	1990	17744445
8507519	1995	2018	71924100
8516451	2004	2018	162324750
8518613	1985	2017	86803240
8532909	1995	2010	71924100
8547689	1997	1997	86803240
8558347	2004	2007	15744967
8576556	1974	1989	71924100
8579774	1977	2018	127313418
8607863	1992	1992	86803240
8647552	2002	2008	185592680
8678334	1998	2015	86803240
8684362	1998	2018	185592680
8689452	1979	1987	33923547
8694574	1978	1989	138885662
8694989	2008	2009	86803240
8718083	1976	2008	86803240
8732389	1994	2006	71924100
8760565	1994	2018	86803240
8772102	1999	2017	17744445
8780462	1979	2012	185592680
8781827	1988	2009	71924100
8800888	1973	2010	71924100
8813087	1997	2016	41008148
8834202	1976	2003	185592680
8854962	1971	2011	17744445
8866067	1988	2001	121332964
8867576	1967	1997	33923547
8894834	2003	2003	121332964
8930240	1983	1985	41008148
8942970	1976	1976	41008148
8943103	2003	2004	121332964
8948668	1983	2018	138885662
8970729	1991	1997	127413603
8981639	1997	2018	71924100
9002816	1976	1985	127413603
9017762	1977	1992	33923547
9022159	1993	2018	192562407
9024366	1988	1988	185592680
9036870	1968	2013	121332964
9038248	1995	2004	86803240
9074503	2005	2005	127413603
9079848	1968	1991	127413603
9088008	2002	2017	86803240
9092606	1978	1985	71924100
9147578	1992	1994	86803240
9157048	1990	1990	71924100
9180821	1989	1993	41008148
9187841	1995	1995	39432304
9199454	1997	2001	185592680
9205154	1998	2018	41008148
9220034	1970	2012	17744445
9240704	1997	1999	86803240
9257954	1995	2004	15744967
9285872	1981	1984	127413603
9302605	1981	1981	127413603
9313165	1976	1987	86803240
9313646	2002	2018	127313418
9313684	2002	2018	71924100
9316258	2004	2008	86803240
9336917	1995	2011	86803240
9338416	1994	2018	162324750
9362435	2008	2016	15744967
9382879	1978	1978	121332964
9391789	1998	2018	71924100
9400859	1994	2018	86803240
9408829	1993	2011	41008148
9419639	1977	1977	192562407
9454617	1969	2018	86803240
9470666	1999	2009	41008148
9474323	1967	1969	121332964
9480810	1994	2016	86803240
9489070	1994	2011	185592680
9519466	1974	2016	71924100
9529052	1989	2008	71924100
9537268	1992	1993	86803240
9541016	1985	2010	185592680
9556000	1991	1995	86803240
