Discipline	Parent	Year0	Age	EPriorPaperCount	EPriorCitationCount	EHindex	ETop	EColabCount
Biology	86803240	1980	4	2	2	1	False	3
Biology	86803240	1980	6	5	3	1	False	5
Biology	86803240	1980	9	8	34	3	False	5
Biology	86803240	1980	10	14	49	3	False	15
Biology	86803240	1980	10	15	65	4	False	19
Biology	86803240	1980	11	17	122	5	False	21
Biology	86803240	1980	13	26	148	5	False	23
Biology	86803240	1980	13	31	151	7	True	28
Biology	86803240	1980	16	33	263	9	True	30
Biology	86803240	1980	17	37	273	11	True	44
Biology	86803240	1980	20	38	431	13	True	52
Biology	86803240	1980	22	97	868	17	True	62
Biology	86803240	1980	25	230	3263	33	True	306
Biology	86803240	1981	6	3	0	0	False	1
Biology	86803240	1981	7	4	1	1	False	3
Biology	86803240	1981	9	5	8	1	False	9
Biology	86803240	1981	10	26	188	8	False	25
Biology	86803240	1981	13	39	205	10	True	27
Biology	86803240	1981	14	42	308	10	True	43
Biology	86803240	1981	18	58	481	11	True	54
Biology	86803240	1981	18	65	501	12	True	95
Biology	86803240	1981	23	67	514	13	True	107
Biology	86803240	1981	23	72	588	14	True	128
Biology	86803240	1981	40	142	3030	28	True	237
Biology	86803240	1982	8	14	37	3	False	5
Biology	86803240	1982	9	16	38	4	False	22
Biology	86803240	1982	10	16	59	4	False	24
Biology	86803240	1982	11	22	65	4	False	25
Biology	86803240	1982	12	24	78	5	False	25
Biology	86803240	1982	13	27	134	6	True	26
Biology	86803240	1982	14	28	138	7	True	28
Biology	86803240	1982	14	31	147	7	True	28
Biology	86803240	1982	14	38	149	8	True	34
Biology	86803240	1982	15	50	221	8	True	37
Biology	86803240	1982	15	51	497	13	True	38
Biology	86803240	1982	17	74	555	14	True	63
Biology	86803240	1982	18	88	1026	18	True	71
Biology	86803240	1982	22	90	2381	27	True	78
Biology	86803240	1983	2	1	0	0	False	3
Biology	86803240	1983	5	5	5	1	False	4
Biology	86803240	1983	5	8	16	2	False	5
Biology	86803240	1983	6	8	17	3	False	11
Biology	86803240	1983	7	11	28	3	False	13
Biology	86803240	1983	8	13	29	4	False	14
Biology	86803240	1983	10	14	34	4	False	14
Biology	86803240	1983	10	15	48	4	False	15
Biology	86803240	1983	11	17	86	4	False	16
Biology	86803240	1983	12	20	90	5	False	19
Biology	86803240	1983	12	23	112	6	False	21
Biology	86803240	1983	13	24	115	7	False	22
Biology	86803240	1983	13	27	224	7	False	26
Biology	86803240	1983	13	32	285	8	False	27
Biology	86803240	1983	14	37	289	9	False	27
Biology	86803240	1983	14	38	305	10	False	28
Biology	86803240	1983	16	39	316	10	False	32
Biology	86803240	1983	16	43	405	12	False	34
Biology	86803240	1983	18	46	452	12	False	49
Biology	86803240	1983	18	47	516	12	True	57
Biology	86803240	1983	19	50	548	13	True	58
Biology	86803240	1983	19	64	733	14	True	66
Biology	86803240	1983	21	72	847	17	True	89
Biology	86803240	1983	21	84	1022	17	True	119
Biology	86803240	1983	22	91	1072	18	True	121
Biology	86803240	1983	22	114	1082	19	True	128
Biology	86803240	1983	23	121	1361	19	True	130
Biology	86803240	1983	24	137	1552	21	True	157
Biology	86803240	1983	27	142	1973	22	True	176
Biology	86803240	1983	28	143	2008	23	True	201
Biology	86803240	1983	42	169	2225	25	True	205
Biology	86803240	1984	5	1	0	0	False	1
Biology	86803240	1984	6	13	56	4	False	10
Biology	86803240	1984	11	15	75	5	False	19
Biology	86803240	1984	11	21	207	7	False	19
Biology	86803240	1984	19	22	254	8	False	23
Biology	86803240	1984	20	41	534	9	False	34
Biology	86803240	1984	20	47	807	12	False	39
Biology	86803240	1984	21	88	915	14	True	54
Biology	86803240	1984	22	88	1054	16	True	54
Biology	86803240	1984	28	108	1094	17	True	121
Biology	86803240	1984	30	112	1428	23	True	152
Biology	86803240	1984	30	118	1428	23	True	658
Biology	86803240	1985	3	2	1	1	False	1
Biology	86803240	1985	6	5	8	1	False	11
Biology	86803240	1985	9	9	15	2	False	11
Biology	86803240	1985	10	17	33	2	False	17
Biology	86803240	1985	11	22	45	3	False	19
Biology	86803240	1985	13	24	57	4	False	24
Biology	86803240	1985	13	27	133	6	False	25
Biology	86803240	1985	13	28	140	7	False	28
Biology	86803240	1985	13	30	150	7	False	29
Biology	86803240	1985	14	33	157	7	False	30
Biology	86803240	1985	14	33	170	8	False	31
Biology	86803240	1985	15	37	170	8	False	32
Biology	86803240	1985	16	39	182	8	False	37
Biology	86803240	1985	17	39	236	9	True	40
Biology	86803240	1985	18	40	279	9	True	42
Biology	86803240	1985	19	49	281	10	True	45
