NewAuthorId	FirstYear
8823	1981
9499	1985
41274	2012
47932	2004
50362	2003
60680	2010
70662	2000
75839	1999
81310	1998
89675	2000
89866	1989
100408	1988
101674	1987
110893	1995
117889	2004
119127	1985
122758	1993
142427	1994
146468	1984
161439	1991
166977	1992
175321	1981
178269	1983
178413	1990
196176	1980
197699	1991
202108	1988
218988	1978
222809	1989
235261	1976
253252	1978
257893	2002
264498	1975
265402	1985
294849	1973
307068	1970
317909	1991
328338	1976
334216	1981
357832	1989
369046	2004
378922	1983
381734	1997
419558	1977
420579	2000
433709	2002
437865	1977
439912	1971
454029	1987
463789	1975
535644	1979
569356	2011
571584	1974
576066	2008
605345	1985
612434	1976
642788	2007
670037	1967
680355	1974
682849	1976
759935	1976
783226	2005
783923	1974
786409	2000
878688	2010
982168	1973
989145	2005
1002126	2003
1089826	1974
1114199	1997
1117484	2003
1191667	1973
1194785	1970
1241986	2004
1357040	2002
1461829	2001
1540030	2010
1554193	1995
1573886	2001
1749453	1994
1766245	1977
1818731	1964
1840810	1998
1890970	1999
1994261	1998
2156072	1996
2171735	2001
2187901	1976
2208214	2004
2213673	1995
2215645	1993
2225358	1989
2269879	1994
2290788	1971
2311673	2000
2331124	1992
2353970	1968
2387220	1968
2402383	1989
2534487	2003
2554179	1997
2575010	1988
2627522	1976
2672223	1993
2704749	1998
2718454	1997
2766087	1999
2791010	1992
2804008	1977
2846091	1989
2860792	1974
2878292	1996
2987904	1978
2997255	2002
3018311	2009
3051874	1995
3056425	1985
3069284	1989
3092399	1978
3093303	1995
3185968	1994
3190584	1935
3339582	1995
3396332	1996
3399609	1920
3539778	2008
3598961	1985
3621178	1988
3653584	1985
3664340	1974
3678056	1970
3702844	2004
3788113	1966
3891845	1994
3894449	2010
3907322	1997
3924161	1992
3927171	1972
3954344	1989
3958554	2000
3961744	1973
3964857	1988
3967048	2007
4009538	1990
4018707	1993
4023100	2008
4028932	1983
4031051	1989
4055581	1996
4072062	1990
4101601	1993
4106110	1981
4134073	1992
4197063	1999
4282058	1998
4398954	1969
4411345	1983
4454936	2007
4477988	1998
4556467	1981
4587028	1988
5307172	1985
5328187	2005
5333018	1990
5342269	1992
5368106	1994
5386673	1995
5397350	1985
5473402	1982
5492846	1993
5507862	2000
5564492	2008
5628555	1999
5652812	2005
5673257	1996
5693079	2006
5709905	1991
5755730	2007
5756262	1990
5761667	1988
5806951	1979
5822868	2009
5831704	2003
5842964	1968
5843068	2004
5882239	1997
5884678	1990
5909140	1996
5928048	1985
5957465	1992
5984971	2008
6049572	1989
6054927	1990
6066813	1981
6080606	1999
6106863	1981
6128224	2013
6136434	1994
6143662	2000
6171019	1993
6184793	1997
6209458	2006
6211491	2012
6232487	2007
6233220	1976
6253550	2012
6263190	1992
6279536	2004
6292716	1988
6294910	1977
6354562	1999
6360891	1991
6403172	2012
6404183	1998
6437986	1983
6446525	1994
6468720	2002
6473131	2002
6509820	1976
6517214	1968
6544329	1976
6590989	1987
6604643	1990
6620134	1995
6621500	2002
6622953	1989
6629463	1981
6705583	1986
6725746	2005
6735184	2003
6803265	1994
6819804	2007
6857744	1983
6899249	2003
6920774	1980
6921051	2003
6940832	1993
6962035	2004
6968025	1913
6969135	1967
6969468	2004
6975374	2007
6978134	1975
6991019	1989
6999439	1989
7071523	1974
7085088	1978
7088439	1998
7119960	2002
7193752	1999
7212485	1989
7229915	1985
7233679	1995
7234796	1986
7241443	1992
7258172	1988
7273247	1988
7277889	1976
7289302	1979
7296171	2009
7297285	2006
7300351	1987
7314477	2003
7385223	1996
7426095	1980
7447298	2001
7450369	1993
7456309	1976
7486047	1987
7509759	1978
7532213	2001
7569268	2012
7572545	1991
7580536	1970
7581181	2011
7596454	1992
7612883	2012
7625696	1987
7629090	1995
7641531	1987
7661027	2000
7670821	1994
7671320	2003
7680824	2000
7718726	1997
7772237	1992
7783336	1988
7812034	2007
7814957	1977
7860748	1983
7865229	1975
7865711	1971
7877895	1994
7882851	1995
7939626	1998
7976596	1976
7979572	2009
7980814	2009
7995744	2006
8001747	1997
8010156	1981
8019193	2001
8020813	1989
8031660	1976
8048244	1997
8052098	1981
8062691	1998
8080009	2000
8107557	1991
8133523	1981
8145993	2000
8166737	1973
8217718	1995
8235253	1993
8247935	2008
8259884	1978
8269960	1993
8280312	1980
8284016	1981
8295326	1987
8302372	1969
8307448	1985
8311703	2006
8323649	2002
8364723	1980
8370582	2004
8374375	2001
8375368	1988
8390755	1993
8394309	1964
8416907	1994
8425798	1999
8450023	1975
