	chief_start	chief_end	EditorId	IssnId
0	2015	2019	4	4
1	1979	2019	55	4
2	2012	2017	505	4
3	2012	2017	1514	4
4	2017	2018	2517	4
5	2009	2010	3896	4
6	2016	2019	4276	4
7	2005	2019	7551	4
8	2008	2011	7608	4
9	2007	2019	8665	4
10	2006	2011	8815	4
11	2010	2010	8898	4
12	2015	2019	9144	4
13	1979	1979	11219	4
14	1995	1996	13685	4
15	1993	2010	15203	4
16	2015	2018	17548	4
17	2008	2019	18383	4
18	2014	2019	19398	4
19	2009	2019	19628	4
20	2014	2016	43	43
21	2013	2016	356	43
22	2013	2014	1821	43
23	2014	2016	2787	43
24	2013	2016	3302	43
25	2013	2014	4334	43
26	2015	2016	4680	43
27	2013	2014	5175	43
28	2013	2014	7121	43
29	2013	2014	7269	43
30	2013	2016	7842	43
31	2013	2013	9423	43
32	2013	2015	9821	43
33	2015	2016	10747	43
34	2015	2016	12756	43
35	2013	2014	13196	43
36	2014	2016	14880	43
37	2013	2015	17501	43
38	2013	2016	17858	43
39	2013	2014	19327	43
40	2018	2018	49	49
41	2018	2018	14736	49
42	2011	2018	54	54
43	2007	2010	397	54
44	2007	2018	683	54
45	1999	2012	903	54
46	2011	2019	1329	54
47	1985	2010	1594	54
48	2010	2018	3914	54
49	1999	2011	4662	54
50	2007	2019	4812	54
51	2007	2010	5668	54
52	2009	2010	6054	54
53	2007	2013	6837	54
54	1995	1999	7579	54
55	2007	2016	10304	54
56	2007	2019	11472	54
57	2007	2018	16060	54
58	2007	2010	16311	54
59	2011	2019	18529	54
60	2007	2010	18537	54
61	1995	1995	120	120
62	1995	1995	490	120
63	2005	2019	2662	120
64	1986	1987	4157	120
65	1995	1996	5653	120
66	1995	1995	6729	120
67	1995	1995	7631	120
68	1995	1995	10214	120
69	1995	1995	10652	120
70	1996	1996	17519	120
71	1990	1997	18763	120
72	2018	2019	124	124
73	2016	2017	5955	124
74	2016	2017	12401	124
75	2006	2006	129	129
76	2018	2019	136	136
77	1995	2019	7760	136
78	2017	2017	164	105
79	2017	2017	6717	105
80	2017	2017	7050	105
81	2017	2017	7927	105
82	2017	2017	8349	105
83	2017	2017	8691	105
84	2017	2017	8872	105
85	2017	2017	9434	105
86	2017	2017	11211	105
87	2017	2017	11565	105
88	2012	2013	11598	105
89	2017	2017	13514	105
90	2017	2017	14633	105
91	2010	2017	15501	105
92	2017	2017	16762	105
93	2017	2017	17044	105
94	2017	2017	17284	105
95	2017	2017	18008	105
96	2017	2017	18059	105
97	2017	2017	18489	105
98	2017	2017	18926	105
99	2017	2017	19310	105
100	1984	1984	166	111
101	1984	1984	1297	111
102	2017	2019	1650	111
103	1984	1985	3954	111
104	2017	2019	5482	111
105	1984	1984	8543	111
106	1984	1985	12098	111
107	1984	1985	12236	111
108	1984	1984	12906	111
109	1985	1985	16778	111
110	1984	1984	17294	111
111	2018	2018	171	171
112	2019	2019	188	145
113	2014	2019	5599	145
114	2014	2019	6266	145
115	2014	2019	7575	145
116	2014	2019	15738	145
117	2017	2019	200	200
118	2017	2018	19228	200
119	2012	2015	264	264
120	2012	2015	4054	264
121	2011	2017	281	281
122	1988	2010	17613	281
123	2011	2014	291	292
124	2014	2019	4439	292
125	2010	2010	16482	292
126	2006	2019	293	293
127	2018	2019	2564	293
128	2018	2019	3021	293
129	2018	2019	3392	293
130	2018	2019	4008	293
131	2018	2018	4691	293
132	2018	2019	6129	293
133	2018	2019	6737	293
134	2018	2019	6984	293
135	2018	2019	7077	293
136	2012	2013	7237	293
137	2018	2019	7283	293
138	2018	2019	7572	293
139	2018	2019	7992	293
140	2018	2019	10515	293
141	2018	2019	12791	293
142	2018	2019	13029	293
143	2006	2019	16361	293
144	2006	2013	18308	293
145	2018	2019	18643	293
146	2015	2016	315	315
147	2007	2009	322	0
148	2007	2009	894	0
149	2007	2009	1246	0
150	2018	2019	334	334
151	2004	2009	2803	334
152	2018	2019	2871	334
153	2018	2019	3647	334
154	2018	2019	8382	334
155	2018	2019	16159	334
156	2018	2019	19507	334
157	2015	2019	338	222
158	2016	2019	1597	222
159	2017	2019	5458	222
160	2015	2019	5530	222
161	2017	2019	5550	222
162	2016	2019	6887	222
163	2015	2019	9191	222
