NewAuthorId	issn	Year	Count
4495	1744117X	2006	1
6122	1744117X	2017	1
6772	1744117X	2017	3
7187	1744117X	2006	1
7421	1744117X	2019	1
7825	1744117X	2008	1
7825	1744117X	2018	6
8065	1744117X	2016	1
8065	1744117X	2018	4
8065	1744117X	2019	1
8126	1744117X	2008	2
8254	1744117X	2011	1
8254	1744117X	2012	1
8254	1744117X	2013	1
8254	1744117X	2014	3
8254	1744117X	2015	8
8254	1744117X	2016	6
8254	1744117X	2017	12
8254	1744117X	2018	14
8254	1744117X	2019	16
8404	1744117X	2016	1
8657	1744117X	2019	1
9335	1744117X	2011	1
12402	1744117X	2016	1
12405	1744117X	2019	1
13602	1744117X	2012	1
13764	1744117X	2007	1
14161	1744117X	2006	1
14233	1744117X	2017	1
14953	1744117X	2018	2
14953	1744117X	2019	1
15860	1744117X	2006	1
16509	1744117X	2012	1
16509	1744117X	2014	1
16509	1744117X	2015	1
16509	1744117X	2016	1
16509	1744117X	2017	1
17951	1744117X	2009	1
18919	1744117X	2016	1
19003	1744117X	2013	1
19376	1744117X	2017	1
22530	1744117X	2019	1
22555	1744117X	2007	3
22620	1744117X	2006	2
22620	1744117X	2007	1
22620	1744117X	2017	1
22620	1744117X	2018	1
22838	1744117X	2013	1
23090	1744117X	2017	1
23090	1744117X	2018	1
23697	1744117X	2011	1
24758	1744117X	2007	1
24883	1744117X	2018	1
25377	1744117X	2019	1
25508	1744117X	2011	1
25508	1744117X	2012	1
25508	1744117X	2016	2
26238	1744117X	2009	1
26520	1744117X	2007	1
26520	1744117X	2016	1
27052	1744117X	2006	1
27052	1744117X	2010	1
27052	1744117X	2011	1
27052	1744117X	2017	1
27052	1744117X	2019	1
27889	1744117X	2019	1
28779	1744117X	2011	1
28779	1744117X	2013	1
28779	1744117X	2014	1
28779	1744117X	2016	1
28779	1744117X	2017	1
28820	1744117X	2016	1
28834	1744117X	2017	1
29211	1744117X	2014	1
29468	1744117X	2016	2
29875	1744117X	2013	1
29875	1744117X	2014	1
32709	1744117X	2015	1
32709	1744117X	2016	1
32709	1744117X	2018	1
33486	1744117X	2016	1
33636	1744117X	2012	1
34152	1744117X	2017	1
34336	1744117X	2011	1
34336	1744117X	2012	2
35027	1744117X	2019	1
35245	1744117X	2017	2
35601	1744117X	2012	1
35601	1744117X	2013	2
36190	1744117X	2010	1
36190	1744117X	2019	1
36499	1744117X	2018	1
38177	1744117X	2009	1
38957	1744117X	2011	1
39462	1744117X	2007	2
39462	1744117X	2009	1
39462	1744117X	2013	1
39462	1744117X	2014	2
39545	1744117X	2009	1
39545	1744117X	2018	1
39642	1744117X	2010	1
40272	1744117X	2007	1
40272	1744117X	2018	1
41096	1744117X	2010	1
41719	1744117X	2017	1
41855	1744117X	2016	1
42607	1744117X	2011	1
43029	1744117X	2011	1
44001	1744117X	2013	1
44752	1744117X	2007	1
45960	1744117X	2007	1
45960	1744117X	2015	1
46149	1744117X	2018	1
49022	1744117X	2019	3
49163	1744117X	2013	1
51557	1744117X	2016	1
53548	1744117X	2012	1
53803	1744117X	2019	1
53913	1744117X	2011	1
54909	1744117X	2016	1
55027	1744117X	2018	1
55211	1744117X	2018	1
55412	1744117X	2014	1
58647	1744117X	2010	2
58647	1744117X	2015	1
58647	1744117X	2019	1
58771	1744117X	2008	1
58771	1744117X	2016	1
58771	1744117X	2017	1
58817	1744117X	2009	1
58916	1744117X	2012	1
60164	1744117X	2008	1
64629	1744117X	2007	1
64845	1744117X	2011	1
65015	1744117X	2009	3
65015	1744117X	2010	1
65015	1744117X	2011	2
65015	1744117X	2019	1
65201	1744117X	2012	1
65201	1744117X	2014	1
65201	1744117X	2015	1
65201	1744117X	2016	1
65636	1744117X	2007	1
65636	1744117X	2011	1
66052	1744117X	2008	1
66526	1744117X	2016	1
66526	1744117X	2018	1
67490	1744117X	2019	1
67560	1744117X	2017	1
67674	1744117X	2016	1
69181	1744117X	2008	1
69403	1744117X	2014	1
69403	1744117X	2018	1
69403	1744117X	2019	4
69743	1744117X	2010	1
69813	1744117X	2008	1
70324	1744117X	2017	1
70583	1744117X	2019	1
71205	1744117X	2013	1
71339	1744117X	2009	1
77551	1744117X	2007	3
78373	1744117X	2007	1
78393	1744117X	2014	1
78393	1744117X	2019	1
79463	1744117X	2016	1
79463	1744117X	2017	1
80425	1744117X	2017	1
81517	1744117X	2009	1
81517	1744117X	2010	1
81517	1744117X	2011	1
81517	1744117X	2012	3
81517	1744117X	2014	1
81517	1744117X	2015	1
81517	1744117X	2016	1
81517	1744117X	2018	1
83136	1744117X	2006	1
83640	1744117X	2006	10
83640	1744117X	2007	2
83640	1744117X	2011	1
83640	1744117X	2012	2
83640	1744117X	2014	1
83640	1744117X	2015	2
83640	1744117X	2016	5
83640	1744117X	2017	2
83640	1744117X	2018	1
83640	1744117X	2019	6
83963	1744117X	2014	1
86037	1744117X	2016	1
86037	1744117X	2018	2
87629	1744117X	2011	1
87724	1744117X	2006	1
87842	1744117X	2012	1
89000	1744117X	2011	1
89098	1744117X	2012	1
89578	1744117X	2006	1
89578	1744117X	2008	1
89578	1744117X	2011	1
89578	1744117X	2017	1
89666	1744117X	2006	1
89666	1744117X	2010	1
89666	1744117X	2013	1
89666	1744117X	2015	1
90404	1744117X	2011	2
90788	1744117X	2018	1
92142	1744117X	2016	1
92872	1744117X	2011	1
92872	1744117X	2015	1
93183	1744117X	2015	1
95239	1744117X	2019	1
95766	1744117X	2010	1
95766	1744117X	2012	1
95766	1744117X	2013	1
96745	1744117X	2017	1
97370	1744117X	2007	1
97539	1744117X	2009	1
97539	1744117X	2015	3
97539	1744117X	2016	1
97539	1744117X	2017	2
97539	1744117X	2018	4
97539	1744117X	2019	1
102171	1744117X	2016	1
103198	1744117X	2015	1
103527	1744117X	2016	2
103527	1744117X	2018	1
103796	1744117X	2017	1
103980	1744117X	2008	1
104166	1744117X	2006	1
104166	1744117X	2007	1
104166	1744117X	2009	2
104166	1744117X	2010	2
104166	1744117X	2011	2
104166	1744117X	2012	1
104166	1744117X	2013	3
104166	1744117X	2016	1
104475	1744117X	2017	1
105607	1744117X	2017	2
106690	1744117X	2018	1
107621	1744117X	2006	2
107621	1744117X	2008	2
107621	1744117X	2009	2
107621	1744117X	2010	2
107621	1744117X	2011	3
107621	1744117X	2012	6
107621	1744117X	2014	3
107621	1744117X	2015	4
107621	1744117X	2016	4
107621	1744117X	2017	4
107621	1744117X	2018	2
107621	1744117X	2019	2
108167	1744117X	2012	1
108827	1744117X	2013	1
110491	1744117X	2017	2
110491	1744117X	2018	3
110563	1744117X	2012	3
110629	1744117X	2006	1
110629	1744117X	2008	1
110629	1744117X	2010	2
110629	1744117X	2011	6
110629	1744117X	2012	1
110629	1744117X	2013	1
110629	1744117X	2016	1
110629	1744117X	2017	2
110629	1744117X	2018	1
110629	1744117X	2019	1
111075	1744117X	2018	1
111109	1744117X	2011	1
111556	1744117X	2007	1
111556	1744117X	2010	1
111556	1744117X	2012	1
111556	1744117X	2013	1
112699	1744117X	2017	1
113785	1744117X	2018	1
114942	1744117X	2017	1
115053	1744117X	2006	1
115845	1744117X	2017	2
116132	1744117X	2012	1
117917	1744117X	2013	1
117917	1744117X	2016	1
117917	1744117X	2018	1
118770	1744117X	2018	1
118978	1744117X	2013	1
121119	1744117X	2018	1
121132	1744117X	2012	1
121132	1744117X	2015	2
121132	1744117X	2016	1
121179	1744117X	2006	1
121853	1744117X	2018	1
122213	1744117X	2019	1
123148	1744117X	2012	1
123837	1744117X	2016	1
124841	1744117X	2017	1
125959	1744117X	2013	1
127007	1744117X	2007	1
128130	1744117X	2009	1
131845	1744117X	2011	1
132656	1744117X	2006	1
132656	1744117X	2009	1
133494	1744117X	2009	2
133494	1744117X	2010	2
133494	1744117X	2011	1
133657	1744117X	2007	1
133657	1744117X	2014	1
133657	1744117X	2018	1
136340	1744117X	2019	1
136801	1744117X	2018	1
136801	1744117X	2019	2
136984	1744117X	2018	1
138486	1744117X	2009	1
138787	1744117X	2016	1
138787	1744117X	2017	1
139796	1744117X	2007	1
139796	1744117X	2008	1
139796	1744117X	2014	2
139796	1744117X	2017	2
140042	1744117X	2019	1
141781	1744117X	2019	1
142019	1744117X	2009	1
142903	1744117X	2011	1
142903	1744117X	2014	2
143833	1744117X	2018	1
145298	1744117X	2007	1
145298	1744117X	2008	1
145427	1744117X	2007	2
145427	1744117X	2011	1
145893	1744117X	2013	1
146970	1744117X	2016	1
148980	1744117X	2018	1
149424	1744117X	2011	2
151210	1744117X	2013	1
151688	1744117X	2018	1
151873	1744117X	2019	1
152089	1744117X	2015	2
152412	1744117X	2007	2
152412	1744117X	2011	3
152634	1744117X	2016	1
154674	1744117X	2015	1
155105	1744117X	2011	1
156184	1744117X	2019	1
158504	1744117X	2010	1
158504	1744117X	2012	4
158504	1744117X	2013	2
158504	1744117X	2014	5
158504	1744117X	2015	10
158504	1744117X	2016	6
158504	1744117X	2017	12
158504	1744117X	2018	16
158504	1744117X	2019	18
159479	1744117X	2012	4
159479	1744117X	2013	1
159479	1744117X	2015	1
159479	1744117X	2016	3
159479	1744117X	2018	1
159479	1744117X	2019	4
160168	1744117X	2006	1
160168	1744117X	2010	1
160168	1744117X	2011	1
160168	1744117X	2012	2
160168	1744117X	2015	2
160168	1744117X	2017	1
160838	1744117X	2006	1
160838	1744117X	2016	1
160838	1744117X	2018	1
163414	1744117X	2012	1
164173	1744117X	2012	1
164173	1744117X	2013	1
165089	1744117X	2006	2
165089	1744117X	2009	1
165089	1744117X	2011	3
165089	1744117X	2012	1
165089	1744117X	2014	1
165089	1744117X	2015	1
165089	1744117X	2016	2
165089	1744117X	2017	1
165089	1744117X	2018	1
165520	1744117X	2006	1
165520	1744117X	2012	1
165520	1744117X	2015	1
165520	1744117X	2016	2
165520	1744117X	2017	1
165520	1744117X	2018	1
165520	1744117X	2019	2
167837	1744117X	2016	1
168332	1744117X	2007	1
171049	1744117X	2013	2
171273	1744117X	2011	1
171448	1744117X	2016	1
171949	1744117X	2017	1
171949	1744117X	2018	1
171949	1744117X	2019	1
172717	1744117X	2010	1
172717	1744117X	2012	1
172717	1744117X	2019	1
173229	1744117X	2019	1
173499	1744117X	2019	1
173561	1744117X	2009	1
175817	1744117X	2007	1
175817	1744117X	2008	1
175817	1744117X	2010	2
175817	1744117X	2013	1
175817	1744117X	2015	1
175817	1744117X	2018	1
175817	1744117X	2019	2
175860	1744117X	2006	1
175899	1744117X	2016	1
175899	1744117X	2017	1
175899	1744117X	2019	1
176307	1744117X	2012	1
177751	1744117X	2010	1
178561	1744117X	2015	1
178561	1744117X	2016	1
178658	1744117X	2013	1
178658	1744117X	2018	1
181149	1744117X	2019	1
181633	1744117X	2018	1
182303	1744117X	2018	1
182327	1744117X	2011	2
184772	1744117X	2017	1
184772	1744117X	2018	1
185679	1744117X	2006	4
185679	1744117X	2010	1
187075	1744117X	2006	1
187512	1744117X	2018	1
189095	1744117X	2009	1
189095	1744117X	2017	1
190525	1744117X	2008	1
193013	1744117X	2019	1
193243	1744117X	2008	1
193243	1744117X	2017	1
193528	1744117X	2006	1
193528	1744117X	2011	1
193528	1744117X	2012	4
193528	1744117X	2013	3
193528	1744117X	2014	2
193528	1744117X	2015	2
193528	1744117X	2016	2
193528	1744117X	2018	1
197564	1744117X	2018	1
198035	1744117X	2012	2
198035	1744117X	2013	1
198035	1744117X	2018	1
198148	1744117X	2011	1
198148	1744117X	2013	2
198148	1744117X	2019	1
198890	1744117X	2011	1
198890	1744117X	2016	1
200533	1744117X	2016	1
200962	1744117X	2013	1
203121	1744117X	2009	1
203121	1744117X	2010	1
203121	1744117X	2013	1
203121	1744117X	2016	3
203766	1744117X	2007	4
204611	1744117X	2017	1
205331	1744117X	2007	1
205384	1744117X	2008	1
205384	1744117X	2011	1
206313	1744117X	2013	1
206339	1744117X	2011	1
207670	1744117X	2018	1
208391	1744117X	2018	1
209176	1744117X	2009	1
209742	1744117X	2018	1
211145	1744117X	2018	1
211462	1744117X	2006	2
211462	1744117X	2007	2
211462	1744117X	2009	2
211462	1744117X	2010	2
211462	1744117X	2011	34
211462	1744117X	2012	1
211462	1744117X	2014	13
211462	1744117X	2015	9
211462	1744117X	2016	4
211462	1744117X	2017	6
211462	1744117X	2018	3
211462	1744117X	2019	3
213763	1744117X	2018	1
213972	1744117X	2013	1
214107	1744117X	2016	1
215890	1744117X	2017	1
217678	1744117X	2019	1
217788	1744117X	2007	1
219437	1744117X	2018	1
220104	1744117X	2013	1
223970	1744117X	2006	8
223970	1744117X	2007	1
223970	1744117X	2011	1
223970	1744117X	2012	2
223970	1744117X	2016	1
223970	1744117X	2017	1
223970	1744117X	2019	2
225525	1744117X	2015	1
225525	1744117X	2016	1
225525	1744117X	2019	1
225544	1744117X	2011	1
226022	1744117X	2011	1
226024	1744117X	2006	1
226130	1744117X	2009	2
227222	1744117X	2019	1
227875	1744117X	2016	1
228987	1744117X	2011	1
228987	1744117X	2016	1
229363	1744117X	2017	1
229363	1744117X	2018	1
229363	1744117X	2019	1
229539	1744117X	2006	1
229539	1744117X	2008	2
229539	1744117X	2009	1
229539	1744117X	2010	1
229539	1744117X	2011	1
229539	1744117X	2012	3
229794	1744117X	2007	1
230312	1744117X	2016	2
230312	1744117X	2018	1
231183	1744117X	2016	3
231274	1744117X	2011	2
231475	1744117X	2008	1
231475	1744117X	2013	1
231475	1744117X	2019	4
231646	1744117X	2017	1
233155	1744117X	2008	3
233155	1744117X	2010	1
233155	1744117X	2011	1
234129	1744117X	2013	1
234597	1744117X	2019	1
235043	1744117X	2009	1
236497	1744117X	2007	1
236497	1744117X	2008	1
236727	1744117X	2016	1
236797	1744117X	2008	2
236797	1744117X	2009	4
237152	1744117X	2012	1
237152	1744117X	2015	1
238487	1744117X	2016	1
240300	1744117X	2007	1
240300	1744117X	2013	1
240943	1744117X	2014	1
241704	1744117X	2011	1
242293	1744117X	2016	1
242293	1744117X	2017	1
242293	1744117X	2018	3
242293	1744117X	2019	1
242980	1744117X	2010	2
242980	1744117X	2014	1
245320	1744117X	2010	1
246344	1744117X	2017	1
246481	1744117X	2017	1
246893	1744117X	2013	5
247355	1744117X	2008	1
247355	1744117X	2010	3
249154	1744117X	2019	1
249572	1744117X	2016	1
249638	1744117X	2012	1
249762	1744117X	2015	1
249762	1744117X	2019	1
250302	1744117X	2007	1
250962	1744117X	2019	1
251083	1744117X	2009	1
251280	1744117X	2007	1
251489	1744117X	2012	1
251674	1744117X	2016	2
251674	1744117X	2017	1
252695	1744117X	2018	1
252913	1744117X	2018	1
254760	1744117X	2016	1
255552	1744117X	2007	2
255552	1744117X	2008	3
255552	1744117X	2011	1
255552	1744117X	2012	2
255552	1744117X	2013	1
255552	1744117X	2015	1
255552	1744117X	2016	1
255552	1744117X	2017	4
255552	1744117X	2018	2
255552	1744117X	2019	3
255596	1744117X	2011	1
256892	1744117X	2006	1
257097	1744117X	2019	1
258763	1744117X	2013	1
258763	1744117X	2018	1
259716	1744117X	2008	2
260040	1744117X	2012	1
261916	1744117X	2013	1
262552	1744117X	2008	1
263972	1744117X	2011	1
264276	1744117X	2008	1
265006	1744117X	2007	1
265006	1744117X	2010	1
265283	1744117X	2007	1
266052	1744117X	2007	1
267360	1744117X	2012	1
267360	1744117X	2014	1
267360	1744117X	2016	2
267360	1744117X	2017	1
267423	1744117X	2008	1
267491	1744117X	2016	1
267828	1744117X	2009	1
267828	1744117X	2010	1
267828	1744117X	2012	12
