EditorYear	EdiCount	AutCount
-21	0	0.0
-20	0	0.0
-19	0	0.0
-18	0	0.1
-17	0	0.0
-16	0	0.06
-15	0	0.0
-14	0	0.04
-13	0	0.04
-12	0	0.02
-11	0	0.04
-10	0	0.12
-9	0	0.0
-8	0	0.06
-7	0	0.0
-6	0	0.14
-5	0	0.02
-4	1	0.04
-3	0	0.0
-2	0	0.3
-1	0	0.0
0	0	0.12
1	0	0.22
2	0	0.06
3	0	0.16
4	0	0.06
5	7	0.02
6	0	0.1
7	3	0.04
8	0	0.12
9	0	0.06
10	0	0.0425531914893617
11	0	0.14893617021276595
12	0	0.07317073170731707
13	2	0.08333333333333333
-22	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.04
-8	0	0.02
-7	0	0.0
-6	0	0.0
-5	0	0.18
-4	0	0.16
-3	0	0.2
-2	1	0.4
-1	0	0.0
0	1	0.12
1	0	0.25
2	1	0.2558139534883721
3	3	0.09302325581395349
4	3	0.3488372093023256
5	4	0.11627906976744186
6	4	0.09302325581395349
7	3	0.2619047619047619
8	1	0.10256410256410256
9	2	0.5263157894736842
10	5	0.1111111111111111
11	10	0.1
12	1	0.045454545454545456
-12	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	4.0
-2	3	0.0
-1	2	2.0
0	2	6.0
1	1	17.0
2	0	6.0
3	2	2.0
4	3	6.0
5	3	2.0
6	0	11.0
7	2	10.0
8	3	2.0
9	2	7.0
10	4	4.0
11	7	4.0
12	3	15.0
13	4	14.0
14	3	8.0
15	2	12.0
16	1	6.0
17	3	4.0
18	3	20.0
19	6	16.0
20	2	6.0
21	6	10.0
22	2	4.0
-8	0	0.0
-7	0	1.0
-6	0	0.0
-5	1	0.0
-4	6	2.0
-3	1	1.0
-2	0	2.0
-1	3	3.0
0	2	0.0
1	2	0.0
2	7	0.0
3	13	0.0
4	1	0.0
5	16	1.0
6	12	3.0
7	15	0.0
8	4	0.0
9	3	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	1	0.0
-6	0	0.0
-5	3	2.0
-4	1	1.0
-3	1	3.0
-2	1	0.0
-1	1	1.0
0	1	0.0
1	1	4.0
2	0	0.0
3	1	1.0
4	3	2.0
5	0	1.0
6	1	1.0
7	0	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	1	0.0
-10	0	0.0
-9	0	0.0
-8	0	1.0
-7	0	1.0
-6	3	1.0
-5	0	4.0
-4	1	0.0
-3	2	0.0
-2	0	0.0
-1	1	1.0
0	1	2.0
1	3	0.0
2	3	2.0
3	4	2.0
4	3	0.0
5	0	0.0
6	0	0.0
7	10	2.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	0	0.0
1	0	0.0
2	0	1.3953488372093024
3	3	0.5581395348837209
4	2	0.65
5	1	0.65
6	2	0.11764705882352941
7	13	0.23529411764705882
8	2	0.4117647058823529
9	7	0.48484848484848486
10	5	0.14285714285714285
11	6	0.2857142857142857
-9	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	0	0.0
1	0	0.02
2	0	0.0
3	0	0.0
4	1	0.0
5	0	0.0
6	0	0.021739130434782608
7	0	0.0
8	0	0.0
9	0	0.0
10	0	0.0
11	0	0.0
12	1	0.0
13	3	0.0
-13	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	1	1.0
0	0	0.36
1	4	0.2
2	0	0.26
3	0	0.06
4	1	0.54
5	1	0.94
6	2	0.62
7	0	0.62
8	0	0.74
9	0	1.56
10	3	2.026315789473684
11	18	3.9615384615384617
12	0	4.166666666666667
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.02
-1	0	0.0
0	0	0.04
1	0	0.08
2	0	0.04
3	0	0.02040816326530612
4	0	0.0
5	0	0.020833333333333332
6	0	0.02127659574468085
7	0	0.0
8	0	0.0
9	0	0.0
10	0	0.0
11	0	0.0
12	0	0.025
13	0	0.0
14	0	0.0
15	0	0.0
16	0	0.0
17	0	0.06666666666666667
18	0	0.03333333333333333
19	0	0.0
20	0	0.0
21	0	0.0
-19	0	0.0
-18	0	0.0
22	0	0.0
23	0	0.047619047619047616
24	1	0.047619047619047616
25	0	0.0
-30	0	0.0
-29	0	0.0
-28	0	0.0
-27	0	0.0
-26	0	0.0
-25	0	0.0
-24	0	0.0
-23	0	0.0
-22	0	0.0
-21	0	0.0
-20	0	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.28
-3	0	0.0
-2	3	2.72
-1	0	0.0
0	1	0.0
1	5	0.0
2	5	0.0
3	2	0.0
4	7	0.2
5	7	0.0
6	15	0.0
7	16	0.0
8	15	0.28
9	5	0.0
10	12	0.0
11	26	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	1	0.0
-6	1	0.0
-5	0	0.0
-4	2	0.0
-3	0	0.76
-2	0	3.24
-1	0	0.0
0	0	0.0
1	0	0.38
2	0	0.38
3	0	0.0
4	9	0.0
5	0	0.0
6	1	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	1.38
-6	0	0.0
-5	0	0.0
-4	2	1.08
-3	0	0.0
-2	1	0.54
-1	0	0.0
0	3	0.46
1	0	0.92
2	1	1.84
3	1	5.22
4	0	4.16
5	1	1.46
6	0	1.0
7	2	0.92
8	1	3.92
9	0	2.76
10	0	1.92
11	0	3.68
12	0	2.3
13	1	0.0
14	0	0.46
15	1	1.0
16	1	0.46
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.02
-3	0	0.0
-2	0	0.02
-1	0	0.0
0	0	0.0
1	1	0.0
2	1	0.02
3	5	0.02040816326530612
4	1	0.0
5	5	0.020833333333333332
6	3	0.021739130434782608
7	3	0.0
8	0	0.023255813953488372
9	3	0.024390243902439025
10	4	0.029411764705882353
11	3	0.037037037037037035
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.12
-6	0	0.1
-5	0	0.0
-4	0	0.82
-3	1	0.76
-2	1	0.2
-1	1	1.0
0	0	1.66
1	1	0.98
2	5	0.64
3	0	0.66
4	5	0.24
5	0	1.38
6	1	1.38
7	3	0.34
8	0	1.38
9	2	1.72
10	2	1.46
11	5	0.6190476190476191
12	5	1.5333333333333334
13	3	0.35294117647058826
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	0	0.0
1	0	0.0
2	0	0.0
3	0	0.0
4	1	0.0
5	1	0.0
6	0	0.0
7	0	0.0
8	1	0.0
9	0	0.0
10	0	0.0
11	0	0.0
12	0	0.0
13	0	0.0
14	1	0.0
15	0	0.0
16	0	0.0
17	1	0.0
18	0	0.0
19	0	0.0
20	0	0.0
21	0	0.0
22	0	0.0
23	0	0.0
24	0	0.0
-15	0	0.0
-14	0	0.0
25	0	0.0
26	1	0.0
-1	0	0.0
0	0	0.0
1	0	0.0
2	0	0.0
3	1	0.0
4	0	0.0
5	1	0.0
6	1	0.0
-2	0	0.0
7	0	0.0
8	0	0.0
9	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	0	0.0
1	0	0.0
2	0	0.0
3	0	0.0
4	0	0.0
5	0	0.0
6	0	0.0
7	1	0.0
8	0	0.0
9	0	0.0
10	0	0.0
11	0	0.0
12	0	0.0
13	0	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.02
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.04
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.02
-3	0	0.0
-2	0	0.1
-1	0	0.0
0	0	0.04
1	0	0.0
2	2	0.02
3	11	0.02040816326530612
4	12	0.10416666666666667
5	0	0.0625
6	2	0.020833333333333332
7	1	0.02127659574468085
8	3	0.044444444444444446
9	0	0.06666666666666667
10	1	0.044444444444444446
11	0	0.0
12	2	0.21951219512195122
13	1	0.06666666666666667
-21	0	0.0
-20	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	0	0.0
1	0	0.0
2	0	0.0
3	0	0.0
4	0	0.0
5	0	0.046511627906976744
6	0	0.07317073170731707
7	0	0.0
8	0	0.025
9	0	0.025
10	0	0.05714285714285714
11	0	0.0
12	0	0.03333333333333333
13	0	0.0
-10	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	7	0.0
1	5	0.0
2	6	0.0
3	4	0.022222222222222223
4	3	0.046511627906976744
5	1	0.0
6	10	0.0
7	7	0.0
8	4	0.0
9	2	0.0
10	5	0.0
11	13	0.0
12	8	0.0
13	10	0.0
14	19	0.02702702702702703
15	13	0.0
16	5	0.0
17	7	0.0
18	6	0.0
19	4	0.0
20	12	0.0
21	8	0.034482758620689655
22	1	0.0
23	2	0.0
24	4	0.07142857142857142
25	3	0.0
26	2	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	3	0.0
1	1	0.0
2	0	0.0
3	1	0.14893617021276595
4	7	0.0
5	2	0.2553191489361702
6	2	0.10638297872340426
7	1	0.13333333333333333
8	3	0.2
9	6	0.08888888888888889
10	2	0.044444444444444446
11	1	0.26666666666666666
12	5	0.11363636363636363
13	14	0.16216216216216217
14	12	0.16216216216216217
15	5	0.32432432432432434
16	9	0.0967741935483871
17	4	0.06451612903225806
18	8	0.25806451612903225
19	11	0.0
20	8	0.0967741935483871
21	4	0.17857142857142858
22	15	0.25
23	6	0.32142857142857145
24	5	0.12
25	1	0.5652173913043478
26	2	0.0
27	2	0.7647058823529411
28	1	0.5294117647058824
29	4	0.47058823529411764
30	2	0.4375
-26	0	0.0
-25	0	0.0
-24	0	0.28
-23	0	0.84
-22	0	0.14
-21	0	0.48
-20	0	0.12
-19	0	1.2
-18	0	0.0
-17	0	0.32
-16	0	0.12
-15	0	0.24
-14	0	0.12
-13	0	0.52
-12	4	0.44
-11	1	0.24
-10	3	0.46
-9	0	0.22
-8	0	0.12
-7	0	0.12
-6	0	0.46
-5	0	0.16
-4	0	0.22
-3	0	0.78
-2	0	0.62
-1	0	0.0
0	0	0.6
1	0	0.74
2	0	2.4
3	0	0.6
4	1	1.84
5	0	5.28
6	0	6.348837209302325
7	0	11.162790697674419
8	0	6.883720930232558
-26	0	0.0
-25	0	0.0
-24	0	0.0
-23	0	0.0
-22	0	0.0
-21	0	0.0
-20	0	0.0
-19	0	0.0
-18	0	0.0
-17	6	0.0
-16	0	15.0
-15	0	8.0
-14	0	12.0
-13	3	5.0
-12	4	24.0
-11	11	1.0
-10	1	11.0
-9	7	1.0
-8	6	6.0
-7	2	5.0
-6	8	4.0
-5	19	0.0
-4	14	3.0
-3	2	4.0
-2	15	3.0
-1	2	2.0
0	7	0.0
