EditorYear	EdiCount	AutCount
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	1	0.0
-9	0	0.0
-8	0	1.0
-7	1	1.0
-6	1	0.0
-5	5	2.0
-4	0	12.0
-3	7	0.0
-2	3	0.0
-1	6	6.0
0	11	5.0
1	9	4.0
2	18	3.0
3	23	5.0
4	17	1.0
5	20	7.0
6	26	10.0
7	7	2.0
8	6	9.0
9	26	6.0
10	31	5.0
11	37	14.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	3	0.0
1	47	0.0
2	7	0.0
3	14	0.0
-9	0	0.0
4	4	0.0
5	21	0.0
6	17	0.0
7	39	0.0
8	76	0.0
9	108	0.0
10	88	0.0
11	178	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	1	0.0
-5	0	1.2
-4	0	0.2
-3	0	0.34
-2	2	1.26
-1	0	0.0
0	0	0.34
1	1	0.66
2	1	0.8
3	2	0.46
4	1	1.0
5	2	0.4
6	4	3.75
7	2	4.575
8	6	0.5
9	3	1.5
10	11	1.2592592592592593
11	5	0.0
12	7	0.7407407407407407
13	2	0.0
14	2	0.7407407407407407
15	6	0.0
16	5	1.6296296296296295
17	12	0.6296296296296297
18	8	1.8518518518518519
19	16	1.8518518518518519
20	8	0.7407407407407407
21	13	0.37037037037037035
22	33	5.962962962962963
23	14	3.8518518518518516
24	21	2.962962962962963
25	42	3.7037037037037037
26	25	7.555555555555555
27	31	3.5925925925925926
28	39	11.0
29	19	9.0
30	31	4.0
31	38	12.0
32	20	19.0
33	32	13.0
34	54	7.0
35	43	16.0
36	21	6.0
-7	0	0.0
-6	0	0.34
-5	1	0.16
-4	0	0.5
-3	2	0.66
-2	0	1.34
-1	0	0.0
0	2	0.18
1	3	0.02
2	2	0.0
3	2	0.10204081632653061
4	4	0.12244897959183673
5	22	0.24489795918367346
6	12	0.08163265306122448
7	23	0.09302325581395349
8	28	0.05
9	14	0.0
10	9	0.11764705882352941
11	18	0.0
12	18	0.0
13	28	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	35	0.0
1	31	0.0
2	21	0.0
3	28	0.0
4	45	0.0
5	81	0.0
6	59	0.0
7	47	0.0
8	46	0.0
9	55	0.0
10	26	0.0
-12	0	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	1.6
-14	0	1.0
-13	0	3.12
-12	1	3.88
-11	0	5.72
-10	7	4.36
-9	2	12.52
-8	15	9.84
-7	9	14.88
-6	12	5.52
-5	15	11.92
-4	10	11.08
-3	8	4.4
-2	19	6.16
-1	3	3.0
0	26	6.2
1	81	0.68
2	147	1.32
3	19	2.04
4	62	2.64
5	4	1.56
6	13	3.08
7	49	2.52
8	24	1.3333333333333333
9	12	0.5555555555555556
10	55	0.8888888888888888
11	19	2.888888888888889
12	11	3.0
13	28	1.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	1.0
-5	2	2.0
-4	1	2.0
-3	9	16.0
-2	17	7.0
-1	16	17.0
0	39	25.0
1	22	8.0
2	19	23.0
3	36	39.0
4	79	37.0
5	43	36.0
6	84	34.0
7	43	48.0
8	50	40.0
9	65	37.0
10	46	27.0
11	54	33.0
12	43	65.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	2	0.88
-15	0	1.26
-14	0	0.98
-13	0	1.1
-12	1	0.78
-11	4	0.48
-10	0	0.9
-9	0	1.5
-8	10	6.96
-7	9	3.06
-6	11	5.26
-5	4	9.82
-4	5	6.54
-3	4	8.46
-2	11	7.56
-1	13	12.38
0	8	9.74
1	10	13.18
2	15	10.18
3	22	8.68
4	28	5.86
5	24	9.34
6	19	5.74
7	36	10.56
8	22	10.333333333333334
9	34	11.384615384615385
10	28	8.538461538461538
11	38	10.512820512820513
12	19	10.423076923076923
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.14
-3	0	0.46
-2	1	0.4
-1	1	1.0
0	2	0.68
1	5	0.6388888888888888
2	2	0.6388888888888888
3	2	0.0
4	5	0.25
5	1	0.0
6	2	0.19444444444444445
7	11	0.9166666666666666
8	16	0.8055555555555556
9	34	2.6666666666666665
10	36	0.8055555555555556
11	102	0.72
12	64	1.0
13	38	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.02
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.02
-9	0	0.06
-8	0	0.06
-7	0	0.02
-6	0	0.0
-5	1	0.02
-4	0	0.16
-3	0	0.12
-2	0	0.52
-1	0	0.0
0	0	0.48
1	0	0.42
2	5	0.54
3	3	0.5
4	22	0.5531914893617021
5	34	0.5106382978723404
6	32	0.8723404255319149
7	61	1.0909090909090908
8	56	1.0909090909090908
9	34	1.025
10	61	0.8
11	49	0.78125
12	50	1.1851851851851851
13	35	1.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	3	0.0
1	2	0.0
2	9	0.0
3	2	0.0
4	4	0.0
5	0	0.0
6	2	0.0
7	1	0.0
8	5	0.0
9	1	0.0
10	4	0.0
11	1	0.0
12	12	0.0
13	12	0.0
14	13	0.0
15	4	0.0
16	6	0.0
17	15	0.0
18	2	0.02631578947368421
19	35	0.0
20	3	0.0
21	44	0.030303030303030304
22	47	0.0
23	21	0.06451612903225806
24	15	0.0
-6	0	0.0
25	45	0.038461538461538464
26	30	0.05555555555555555
-5	0	0.0
-4	0	0.0
-3	0	1.0
-2	2	1.0
-1	1	1.0
0	11	1.0
1	20	0.0
2	4	1.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	2	1.0
-2	1	2.0
-1	5	5.0
0	2	4.0
1	16	3.0
2	13	1.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	2	2.0
0	6	0.0
1	4	0.0
2	0	0.48
3	8	0.0
4	9	0.52
5	2	0.48
6	0	0.52
7	1	2.0
8	12	0.96
9	0	4.0
10	0	1.0
11	25	3.52
12	3	4.56
13	12	3.56
14	1	8.16
15	4	10.68
16	2	9.84
17	4	11.76
18	1	16.08
19	3	19.16
20	0	19.64
21	1	15.04
22	1	22.0
23	2	22.0
24	2	11.0
25	3	35.0
26	10	49.0
27	3	35.0
-12	0	0.0
-11	1	0.4
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	1.2
-5	0	0.0
-4	1	1.2
-3	0	0.0
-2	2	1.2
-1	4	4.0
0	7	0.8
1	6	1.0
2	7	5.0
3	17	9.0
4	19	1.4
5	10	3.4
6	21	9.8
7	9	3.2
8	7	4.2
9	18	0.8
10	10	2.4
11	2	8.0
12	3	2.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	0	0.0
1	1	0.0
2	1	0.0
3	1	0.0
4	3	0.0
5	3	0.0
6	5	0.0
7	4	0.0
8	0	0.0
9	0	0.0
10	0	0.0
11	0	0.0
12	1	0.0
13	0	0.0
14	0	0.0
15	1	0.0
16	0	0.0
17	2	0.0
18	0	0.0
19	1	0.0
20	2	0.0
-5	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	0	0.0
1	1	0.0
2	1	0.021739130434782608
3	1	0.0
4	1	0.0
5	1	0.0
6	1	0.0
7	4	0.0
8	0	0.0
9	7	0.0
10	10	0.0
11	14	0.0
12	9	0.1111111111111111
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	1	1.0
0	0	0.18
1	1	0.23404255319148937
2	2	0.21739130434782608
3	0	0.4772727272727273
4	2	0.36363636363636365
5	1	0.36585365853658536
6	2	0.631578947368421
7	0	0.6944444444444444
8	4	0.9117647058823529
9	5	1.5416666666666667
10	0	2.1052631578947367
11	1	2.8823529411764706
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.58
-13	0	0.0
-12	0	1.0
-11	0	1.42
-10	0	0.84
-9	0	3.0
-8	0	2.74
-7	0	3.9
-6	0	2.84
-5	6	4.1
-4	14	0.0
-3	6	1.26
-2	3	5.16
-1	1	1.0
0	0	0.0
1	3	2.94
2	5	1.68
3	1	7.56
4	18	0.84
5	11	1.26
6	3	4.62
7	6	3.36
8	3	5.52
9	13	18.96
10	2	36.96
-19	0	0.0
11	29	7.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	18	0.02
1	8	0.0
2	9	0.0
3	9	0.0
4	12	0.0
5	4	0.0
6	3	0.0
7	4	0.0
8	3	0.0
9	16	0.0
10	15	0.0
11	4	0.0
12	11	0.0
13	13	0.0
14	7	0.0
-5	0	0.0
15	13	0.0
16	5	0.0
17	9	0.0
18	6	0.0
19	10	0.0
20	10	0.0
21	3	0.0
22	16	0.0
23	8	0.0
24	7	0.0
25	17	0.0
26	6	0.0
27	5	0.0
28	11	0.0
29	8	0.0
30	5	0.0
31	3	0.0
32	1	0.1111111111111111
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	1	0.84
-6	1	0.0
-5	1	0.42
-4	0	0.24
-3	1	1.02
-2	0	1.48
-1	0	0.0
0	0	0.68
1	3	0.96
2	10	1.3
3	7	0.96
4	6	1.92
5	7	1.44
6	7	0.96
7	11	1.16
8	12	4.8
9	8	2.98
10	2	2.88
11	20	1.68
12	41	0.24
13	14	0.72
14	17	0.96
15	36	1.44
16	21	0.48
17	36	0.72
18	45	1.2
19	33	0.72
20	41	0.48
21	19	1.92
22	37	1.2
23	33	0.72
24	33	1.2
25	34	0.72
26	35	0.0
27	52	0.0
28	19	1.2
29	33	0.0
30	18	2.2413793103448274
-14	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	1	0.08
-4	0	0.0
-3	0	0.16
-2	0	0.76
-1	0	0.0
0	0	0.06
1	0	0.76
2	1	0.28
3	2	0.58
4	0	0.68
5	5	0.5
6	10	0.6739130434782609
7	1	0.30434782608695654
8	10	0.5869565217391305
9	1	0.6739130434782609
10	8	1.0434782608695652
11	3	1.3043478260869565
12	10	1.625
13	5	2.75
14	8	2.05
15	7	1.7297297297297298
16	17	3.027027027027027
17	1	2.6470588235294117
18	0	1.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	5	0.0
1	23	0.0
2	14	0.0
3	14	0.0
4	24	0.0
5	17	0.0
6	22	0.0
7	28	0.0
8	25	0.1111111111111111
9	18	0.0
10	41	0.0
11	26	0.0
12	17	0.0
13	25	0.0
14	19	0.0
15	7	0.0
16	38	0.0
17	17	0.0
18	26	0.0
19	24	0.0
20	67	0.038461538461538464
21	62	0.0
22	239	0.08
23	211	0.0
24	366	0.08333333333333333
25	242	0.08333333333333333
26	349	0.09523809523809523
27	344	0.21052631578947367
28	97	0.17647058823529413
29	28	0.1875
30	44	0.38461538461538464
31	10	0.1
-13	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.22
-2	1	0.78
-1	0	0.0
0	4	0.0
1	8	0.0
2	13	0.0
3	13	0.55
4	5	0.325
5	30	0.275
6	155	1.325
7	98	0.0
8	62	1.6129032258064515
9	24	2.3225806451612905
10	22	2.3
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	1	0.0
1	0	0.0
2	5	0.0
3	0	0.0
4	0	0.0
5	18	0.0
6	8	0.0
7	6	0.0
8	18	0.0
9	6	0.0
10	6	0.0
11	10	0.0
12	3	0.0
13	8	0.0
14	3	0.0
15	9	0.0
16	10	0.0
17	31	0.0
18	15	0.0
19	1	0.0
20	24	0.0
21	0	0.0
22	0	0.0
-4	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	3	0.0
1	12	0.0
2	10	0.0
3	7	0.0
4	16	0.0
5	68	0.0
6	35	0.0
7	19	0.023255813953488372
8	30	0.0
9	10	0.029411764705882353
10	14	0.0
-20	0	1.0
-19	0	3.0
-18	0	2.0
-17	4	12.5
-16	2	6.5
-15	12	17.0
-14	3	10.5
-13	30	8.5
