EditorYear	EdiCount	AutCount
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	2	0.0
1	1	0.0
2	1	0.0
3	1	0.0
4	0	0.0
5	2	0.0
6	2	0.0
7	4	0.0
8	4	0.0
9	7	0.0
10	5	0.0
11	8	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	0	0.0
1	0	0.0
2	1	0.0
3	1	0.0
4	1	0.0
5	2	0.0
6	2	0.0
7	0	0.0
8	2	0.0
9	3	0.0
10	0	0.0
11	3	0.0
12	1	0.0
13	1	0.0
14	0	0.0
15	0	0.0
16	0	0.0
17	1	0.0
-9	0	0.0
18	1	0.0
19	3	0.0
20	4	0.0
21	1	0.0
22	2	0.0
23	0	0.0
24	1	0.0
25	3	0.0
26	0	0.0
27	1	0.0
28	0	0.0
29	0	0.0
30	0	0.0
31	0	0.0
32	0	0.0
33	0	0.0
34	1	0.0
35	0	0.0
36	0	0.0
-29	0	0.0
-28	0	0.0
-27	0	0.0
-26	0	0.0
-25	0	0.0
-24	0	0.0
-23	0	0.0
-22	0	0.0
-21	0	0.0
-20	0	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	1	1.0
-1	1	1.0
0	1	0.0
1	0	0.0
2	2	1.0
3	1	0.0
4	0	0.0
5	2	0.0
6	1	0.0
7	2	1.0
8	7	0.0
9	3	0.0
10	9	1.0
11	3	0.0
12	5	2.0
-27	0	0.0
-26	0	0.0
-25	0	0.0
-24	0	0.0
-23	0	0.0
-22	0	0.0
-21	0	0.0
-20	0	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	2	1.58
-5	0	0.58
-4	2	1.58
-3	1	1.58
-2	3	2.26
-1	0	0.0
0	2	0.84
1	2	0.58
2	5	1.42
3	4	2.26
4	1	0.42
5	0	0.42
6	2	0.0
7	2	0.0
8	1	1.42
9	0	1.0
10	1	1.68
11	0	1.68
12	3	2.68
-28	0	0.0
13	1	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	1	0.0
-3	1	4.0
-2	2	0.0
-1	0	0.0
0	1	0.0
1	1	0.0
2	0	0.0
3	2	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
