EditorId	IssnId
105	105
293	293
4691	293
6984	293
310	310
350	350
679	679
746	518
12342	518
18743	518
17022	518
771	161
841	841
3285	841
939	248
7240	248
16082	248
1038	533
7821	533
10912	533
1167	533
1043	40
14523	40
1104	153
1916	153
2001	153
3588	153
5100	153
7441	153
9382	153
11333	153
16755	153
18236	153
19406	153
1273	840
2476	840
4384	840
7772	840
11485	840
14182	840
14872	840
15592	840
18638	840
1368	768
2356	768
2775	768
3616	768
4752	768
5143	768
7651	768
7703	768
9455	768
10858	768
11747	768
13500	768
14367	768
19012	768
19333	768
1387	89
12142	89
13531	89
13667	89
17922	89
1477	370
1546	1546
11408	1546
12818	1546
1735	1348
2447	1348
3231	1348
7508	1348
7947	1348
1744	1744
1828	141
6330	141
9532	141
11134	141
18091	141
1863	1608
14427	1608
1901	406
2019	2019
12984	2019
2045	1874
16958	1874
2049	996
5118	996
15193	996
15364	996
2057	52
2450	52
11300	52
5396	52
18854	52
2109	1228
4264	1228
12006	1228
2173	624
2185	476
4697	476
12583	476
17718	476
18403	476
13033	476
2202	1634
2219	2219
9932	2219
2266	2266
8896	2266
2302	2302
2363	242
2437	1698
9673	1698
5438	1698
18940	1698
2483	15
12512	15
19272	15
2483	191
2495	2495
2626	2439
7551	2439
9357	2439
8674	2439
2632	2489
2756	1795
15564	1795
2789	2789
13989	2789
2813	110
2897	736
19149	736
14200	736
3071	253
15834	253
3146	3146
4414	3146
3149	513
11033	513
16251	513
3243	3243
3368	2041
12246	2041
19014	2041
7986	2041
3399	1403
17062	1403
3471	268
5153	268
6240	268
6252	268
7459	268
17677	268
17864	268
17867	268
268	268
4760	268
3481	692
3519	198
11399	198
3523	3523
3609	57
3668	57
4630	57
17598	57
5341	57
8531	57
3664	2217
15534	2217
18562	2217
3720	1548
7361	1548
3829	3829
15880	3829
3871	399
5909	399
8167	399
3877	1205
3952	2932
4192	2932
14007	2932
4018	2750
4068	1458
19681	1458
4095	114
4176	3703
4561	3703
18823	3703
4341	542
18117	542
18722	542
19014	542
4574	632
7511	632
12898	632
16280	632
17050	632
4729	4486
15685	4486
17072	4486
4928	1883
7418	1883
5050	8
5056	1481
11907	1481
5132	1461
9513	1461
19338	1461
5179	171
5229	1577
5232	5232
11408	5232
5252	219
6873	219
18381	219
16826	219
5349	5349
5401	4
8898	4
5403	901
15960	901
5505	667
9324	667
12041	667
16724	667
19581	667
5729	1655
10820	1655
14623	1655
5803	3158
5819	1442
16944	1442
18295	1442
5841	3262
17657	3262
5849	5850
5907	305
5969	14
6180	3242
13518	3242
6239	190
9401	190
15139	190
15539	190
17135	190
6340	1759
13447	1759
6391	3394
8980	3394
6523	6523
6664	3372
6753	627
11109	627
12414	627
19064	627
6791	94
17153	94
18657	94
14335	94
6830	151
6981	1325
13323	1325
15751	1325
7197	570
7568	570
16153	570
7200	4416
15035	4416
15712	4416
7253	714
7343	1157
11930	1157
7351	336
7661	4179
13779	4179
18141	4179
7715	554
7726	581
8775	581
19308	581
7940	3222
8685	3222
9309	3222
18056	3222
7985	2194
3660	2194
14683	2194
14808	2194
8051	2244
12242	2244
14513	2244
14566	2244
14693	2244
8080	224
17475	224
8154	359
3340	359
19540	359
19563	359
8493	280
8581	284
18124	284
8704	3962
8733	7030
19365	7030
8809	412
8983	741
9032	613
14018	613
9084	120
4157	120
18763	120
9160	3505
16378	3505
9495	1618
9561	4761
13941	4761
17277	4761
9738	86
13182	86
16698	86
9762	9762
9794	1999
14888	1999
9801	4564
9890	2361
14962	2361
9933	5537
15137	5537
19409	5537
19414	5537
5537	5537
19313	5537
10067	10067
13611	10067
18543	10067
10294	238
13456	238
15392	238
10310	197
12752	197
13531	197
18195	197
10340	226
10482	148
15838	148
10637	297
12702	297
10809	371
11647	371
14380	371
16450	371
17067	371
10824	10300
15431	10300
15598	10300
10856	593
14889	593
15318	593
17026	593
12650	593
18485	593
10923	5337
11005	3080
11610	3080
13217	3080
15331	3080
15572	3080
19495	3080
11111	3
11136	334
11909	334
11996	334
12375	334
13159	334
14215	334
16493	334
17206	334
19500	334
10567	334
14231	334
18039	334
11158	11158
11199	11199
11596	704
11760	704
11774	905
11810	782
11356	782
11813	2747
18813	2747
11829	3487
11833	10366
11873	523
7559	523
11886	4954
12160	4954
14795	4954
16681	4954
16689	4954
17189	4954
18505	4954
14615	4954
19157	4954
11949	869
12364	869
11993	314
17064	314
19337	314
12038	446
12125	446
17470	446
12046	2571
12106	8272
12563	8272
12239	12239
12334	31
13573	31
12467	9
12572	165
12609	577
12620	2175
14293	2175
12700	380
14843	380
12876	7
15947	7
12981	12981
13102	11648
11648	11648
13170	13170
13208	936
13212	3521
