EditorYear	EdiCount	AutCount
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	3	0.0
1	47	0.0
2	7	0.0
3	14	0.0
-9	0	0.0
4	4	0.0
5	21	0.0
6	17	0.0
7	39	0.0
8	76	0.0
9	108	0.0
10	88	0.0
11	178	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	1.0
-5	2	2.0
-4	1	2.0
-3	9	16.0
-2	17	7.0
-1	16	17.0
0	39	25.0
1	22	8.0
2	19	23.0
3	36	39.0
4	79	37.0
5	43	36.0
6	84	34.0
7	43	48.0
8	50	40.0
9	65	37.0
10	46	27.0
11	54	33.0
12	43	65.0
-12	0	0.0
-11	1	0.4
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	1.2
-5	0	0.0
-4	1	1.2
-3	0	0.0
-2	2	1.2
-1	4	4.0
0	7	0.8
1	6	1.0
2	7	5.0
3	17	9.0
4	19	1.4
5	10	3.4
6	21	9.8
7	9	3.2
8	7	4.2
9	18	0.8
10	10	2.4
11	2	8.0
12	3	2.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	1	0.84
-6	1	0.0
-5	1	0.42
-4	0	0.24
-3	1	1.02
-2	0	1.48
-1	0	0.0
0	0	0.68
1	3	0.96
2	10	1.3
3	7	0.96
4	6	1.92
5	7	1.44
6	7	0.96
7	11	1.16
8	12	4.8
9	8	2.98
10	2	2.88
11	20	1.68
12	41	0.24
13	14	0.72
14	17	0.96
15	36	1.44
16	21	0.48
17	36	0.72
18	45	1.2
19	33	0.72
20	41	0.48
21	19	1.92
22	37	1.2
23	33	0.72
24	33	1.2
25	34	0.72
26	35	0.0
27	52	0.0
28	19	1.2
29	33	0.0
30	18	2.2413793103448274
-14	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	3	0.0
1	12	0.0
2	10	0.0
3	7	0.0
4	16	0.0
5	68	0.0
6	35	0.0
7	19	0.023255813953488372
8	30	0.0
9	10	0.029411764705882353
10	14	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	1	1.0
0	4	0.3
1	6	0.84
2	1	0.5
3	8	0.8085106382978723
4	7	0.5434782608695652
5	8	0.21739130434782608
6	6	0.5434782608695652
7	30	0.8695652173913043
8	28	1.3043478260869565
9	47	1.6521739130434783
10	33	1.4444444444444444
11	51	1.3111111111111111
12	72	1.0256410256410255
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
