EditorYear	EdiCount	AutCount
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	2	0.0
1	1	0.0
2	1	0.0
3	1	0.0
4	0	0.0
5	2	0.0
6	2	0.0
7	4	0.0
8	4	0.0
9	7	0.0
10	5	0.0
11	8	0.0
-9	0	0.0
-32	0	0.0
-31	0	0.0
-30	0	0.0
-29	0	0.0
-28	0	0.0
-27	0	0.0
-26	0	0.0
-25	0	0.0
-24	0	0.0
-23	0	0.0
-22	0	0.0
-21	0	0.0
-20	0	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.4
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.6
-4	0	0.0
-3	1	0.0
-2	0	0.0
-1	0	0.0
0	0	0.0
1	0	0.0
2	1	0.0
3	1	0.0
4	2	0.0
5	5	0.0
6	1	0.0
7	8	0.0
8	9	0.0
9	0	0.0
10	1	0.0
11	1	0.46
12	3	0.0
13	7	0.0
-20	0	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	1	0.0
-7	0	1.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	1	0.0
-2	1	2.0
-1	0	0.0
0	2	0.0
1	4	0.0
2	2	0.0
3	1	0.0
4	2	0.0
5	1	0.0
6	2	0.0
7	4	0.0
8	1	0.0
9	1	0.0
10	3	0.0
11	0	0.0
12	0	0.0
13	1	0.0
14	2	0.0
15	2	0.0
16	1	0.0
17	1	0.0
18	1	0.0
19	2	0.0
20	0	0.0
21	2	0.0
22	1	0.0
23	1	0.0
-14	0	1.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	1	0.0
-5	0	1.0
-4	0	0.0
-3	1	0.0
-2	0	0.0
-1	1	1.0
0	2	0.0
1	0	0.0
2	3	0.0
3	1	0.0
4	3	0.0
5	1	0.0
6	9	0.0
7	1	0.0
8	1	0.0
9	3	0.0
10	1	0.0
11	1	0.0
12	3	0.0
13	1	0.0
14	0	0.0
15	3	0.0
16	1	0.0
17	0	0.0
18	3	0.0
19	3	0.0
20	0	0.0
21	0	0.0
22	0	0.0
23	1	0.0
24	5	0.0
25	1	0.0
26	1	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	0	0.0
1	2	0.0
2	1	0.0
3	1	0.0
4	0	0.0
5	3	0.0
6	10	0.0
7	5	0.0
