EditorId	IssnId
1368	768
2775	768
3616	768
4752	768
5143	768
7703	768
11747	768
13500	768
14367	768
19012	768
19333	768
1744	1744
2109	1228
2483	15
2632	2489
3146	3146
3149	513
3471	268
6252	268
17867	268
4760	268
3609	57
3871	399
4384	840
18638	840
4561	3703
18823	3703
4928	1883
5252	219
5849	5850
5969	14
6330	141
18091	141
6664	3372
7197	570
16153	570
7343	1157
7940	3222
8685	3222
7947	1348
7985	2194
8704	3962
9032	613
9160	3505
9324	667
12041	667
9357	2439
9673	1698
5438	1698
18940	1698
9762	9762
9794	1999
14888	1999
9933	5537
10067	10067
13611	10067
10809	371
10856	593
14889	593
15318	593
12650	593
18485	593
10912	533
10923	5337
11005	3080
11610	3080
13217	3080
19495	3080
11109	627
11300	52
5396	52
11833	10366
12038	446
17470	446
12239	12239
12246	2041
7986	2041
12700	380
14843	380
12984	2019
13212	3521
13524	1292
13667	89
17922	89
13531	89
13779	4179
18141	4179
13941	4761
14105	5983
14623	1655
14843	384
15096	754
15096	126
15284	4006
16728	4006
19707	4006
15731	3435
16144	2652
16280	632
16689	4954
16722	11039
16746	965
16944	1442
17153	94
17322	17322
17434	6929
11449	6929
12947	6929
17463	17463
17570	5713
17657	3262
17714	2078
18669	2078
18236	153
18451	382
18480	18480
18562	2217
18606	10871
18722	542
19014	542
19337	314
19615	287
142	143
16164	143
1699	87
4062	447
9336	447
13558	447
4505	3335
14108	3335
17888	3335
8905	8905
10059	780
10838	272
11631	1466
11648	11648
11663	11663
11920	228
11985	924
12103	12103
13531	5339
14200	736
14476	453
14874	5872
15598	10300
16286	1601
16586	173
16891	969
17022	518
17613	281
18003	10112
18763	120
18820	18820
