start_year	end_year	Year0	Yfp	Ylp	Parent	left	right	EditorId	IssnId
2005	2009	2004	1983	2018	162324750	2000	2009	0	0
2005	2009	2004	1970	2018	162324750	2000	2009	244	0
1994	1994	1993	1977	2018	162324750	1989	1994	282	0
2005	2009	2004	1980	2016	162324750	2000	2009	294	0
2005	2009	2004	1982	2018	162324750	2000	2009	322	0
2005	2009	2004	1989	2018	162324750	2000	2009	361	0
2007	2009	2006	1985	2018	162324750	2002	2009	484	0
2014	2018	2013	2005	2018	17744445	2009	2018	568	0
1993	1998	1992	1981	2016	162324750	1988	1997	707	0
2005	2018	2004	1988	2018	162324750	2000	2009	739	0
2014	2018	2013	1982	2016	162324750	2009	2018	745	0
1989	1990	1988	1968	2018	162324750	1984	1990	1013	0
2005	2019	2004	1993	2015	162324750	2000	2009	1235	0
2014	2018	2013	2008	2018	162324750	2009	2018	1243	0
2005	2009	2004	1979	2018	162324750	2000	2009	1246	0
1994	2009	1993	1978	2018	162324750	1989	1998	1385	0
2005	2009	2004	1978	2018	162324750	2000	2009	1416	0
1994	1996	1993	1984	2018	162324750	1989	1996	1448	0
2005	2005	2004	1992	2018	162324750	2000	2005	1603	0
2008	2018	2007	1996	2018	162324750	2003	2012	1703	0
2005	2009	2004	1991	2018	162324750	2000	2009	1706	0
2005	2018	2004	1993	2015	162324750	2000	2009	2033	0
1986	1991	1985	1958	2010	162324750	1981	1990	2084	0
2014	2018	2013	1998	2018	162324750	2009	2018	2104	0
2014	2018	2013	2005	2018	162324750	2009	2018	2383	0
2008	2009	2007	1986	2017	162324750	2003	2009	2583	0
2005	2006	2004	1990	2017	162324750	2000	2006	2779	0
2006	2009	2005	1997	2018	162324750	2001	2009	2850	0
2005	2005	2004	1984	2017	162324750	2000	2005	2877	0
2014	2018	2013	2004	2018	162324750	2009	2018	2880	0
2014	2019	2013	1999	2018	162324750	2009	2018	2953	0
2005	2005	2004	1990	2018	162324750	2000	2005	3052	0
2007	2009	2006	1992	2018	162324750	2002	2009	3072	0
2005	2009	2004	2003	2018	162324750	2003	2009	3076	0
2014	2015	2013	2004	2018	162324750	2009	2015	3466	0
2014	2017	2013	1999	2018	162324750	2009	2017	3494	0
2008	2015	2007	1980	2018	162324750	2003	2012	3522	0
2014	2019	2013	2001	2018	162324750	2009	2018	3584	0
2014	2015	2013	1996	2018	162324750	2009	2015	3851	0
2005	2009	2004	1990	2018	162324750	2000	2009	3902	0
2005	2008	2004	1990	2018	162324750	2000	2008	4496	0
2005	2009	2004	1989	2018	162324750	2000	2009	4699	0
2005	2009	2004	1973	2011	162324750	2000	2009	4887	0
1994	1996	1993	1982	2018	162324750	1989	1996	5085	0
1986	1990	1985	1978	2018	162324750	1981	1990	5659	0
2006	2009	2005	1978	2018	162324750	2001	2009	6528	0
2014	2019	2013	1996	2018	162324750	2009	2018	6803	0
2005	2008	2004	1988	2018	162324750	2000	2008	6916	0
2005	2009	2004	1987	2018	162324750	2000	2009	6988	0
2014	2016	2013	2004	2018	162324750	2009	2016	7161	0
2014	2018	2013	1996	2018	162324750	2009	2018	7461	0
2005	2006	2004	1987	2018	162324750	2000	2006	8024	0
2014	2019	2013	1993	2018	162324750	2009	2018	8766	0
2014	2019	2013	1994	2018	162324750	2009	2018	8812	0
2014	2015	2013	1993	2018	162324750	2009	2015	9152	0
2014	2019	2013	1985	2018	162324750	2009	2018	9186	0
2014	2019	2013	1995	2018	162324750	2009	2018	9530	0
2005	2009	2004	1993	2018	162324750	2000	2009	9792	0
2014	2016	2013	1998	2018	33923547	2009	2016	9827	0
2014	2016	2013	1990	2018	162324750	2009	2016	10143	0
2014	2019	2013	2007	2018	162324750	2009	2018	10172	0
1987	1991	1986	1978	2018	162324750	1982	1991	10205	0
2014	2019	2013	1999	2018	162324750	2009	2018	10677	0
2005	2016	2004	1962	2018	162324750	2000	2009	10935	0
2014	2015	2013	2005	2018	162324750	2009	2015	10937	0
1993	1996	1992	1983	2018	162324750	1988	1996	11599	0
