EditorYear	AutPercent	Cohort
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
-5	0.0	4
-4	0.25	4
-3	0.15942028985507245	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.1	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.24444444444444444	4
-2	0.4470588235294118	4
-1	0.1834319526627219	4
0	0.0	4
1	0.0	4
2	0.11724137931034483	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.35	4
-4	0.1875	4
-3	0.08139534883720931	4
-2	0.323943661971831	4
-1	0.16049382716049382	4
0	0.0	4
1	0.10294117647058823	4
2	0.0	4
3	0.12307692307692308	4
4	0.0	4
5	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.3333333333333333	4
-4	0.6	4
-3	0.2	4
-2	0.0	4
-1	0.3333333333333333	4
0	0.6666666666666666	4
1	0.42857142857142855	4
2	0.5	4
3	0.3333333333333333	4
4	0.75	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.5	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.5	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.02127659574468085	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	1.0	4
-1	0.5	4
0	0.6	4
1	0.0	4
2	0.5	4
3	0.3333333333333333	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.5	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.4367816091954023	4
2	0.0	4
3	0.24	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.30666666666666664	4
-3	0.0	4
-2	0.3698630136986301	4
-1	0.6	4
0	0.0	4
1	0.0	4
2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	1.0	4
-4	0.4064516129032258	4
-3	0.25	4
-2	0.5434782608695652	4
-1	0.5	4
0	0.0	4
1	0.0	4
2	0.3333333333333333	4
3	1.0	4
4	0.3333333333333333	4
5	0.2857142857142857	4
-5	0.5142857142857142	4
-4	1.0	4
-3	0.33962264150943394	4
-2	0.4953271028037383	4
-1	0.20689655172413793	4
0	1.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.5930232558139535	4
5	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.01282051282051282	4
2	0.0	4
3	0.015873015873015872	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	1.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.3333333333333333	4
-3	0.0	4
-2	0.0	4
-1	0.4	4
0	0.0	4
