Year	Count	IssnId
1988	1	6
1990	1	6
1991	2	6
1992	2	6
1993	4	6
1994	11	6
1995	4	6
1996	12	6
1997	5	6
1998	5	6
1999	1	6
2000	14	6
2001	4	6
2002	3	6
2003	6	6
2004	7	6
2005	6	6
2006	4	6
2007	5	6
2008	15	6
2009	11	6
2010	9	6
2011	7	6
2012	10	6
2013	14	6
2014	17	6
2015	13	6
2016	13	6
2017	10	6
2018	9	6
2019	5	6
2000	8	326
2001	8	326
2002	6	326
2003	6	326
2004	9	326
2005	4	326
2006	7	326
2007	4	326
2008	8	326
2009	6	326
2010	7	326
2011	12	326
2012	8	326
2013	8	326
2014	8	326
2015	7	326
2016	6	326
2017	4	326
2018	7	326
2014	3	1366
2015	4	1366
2016	13	1366
2017	7	1366
2018	11	1366
2019	6	1366
