AfAvg	gender
0.8	male
0.2	male
0.0	male
0.0	male
0.0	male
0.0	male
0.4	male
0.0	male
0.0	male
0.2	male
0.4	female
0.2	male
0.2	male
0.2	male
0.2	male
0.2	male
0.2	male
0.6	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	female
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	female
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.6	male
0.0	male
0.4	male
0.0	male
0.5	male
0.2	male
1.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.6	male
0.0	male
0.0	male
0.0	male
0.0	male
0.2	male
0.0	male
0.2	male
0.5	female
0.2	male
0.0	male
0.4	male
0.0	male
0.4	male
0.0	male
1.0	male
0.0	male
0.2	male
0.0	male
0.5	female
0.4	female
0.4	male
0.2	male
0.6	male
1.4	male
0.3333333333333333	male
0.2	male
0.2	male
0.4	male
0.2	male
0.2	male
0.0	male
0.2	male
0.2	male
0.25	female
0.0	male
0.0	male
0.0	male
0.2	male
0.2	male
0.0	male
0.2	male
0.2	male
0.0	female
0.0	male
0.2	male
0.2	male
0.0	male
0.2	male
0.4	male
0.4	male
0.2	male
0.2	male
0.0	male
0.4	male
0.0	female
0.4	male
0.2	female
1.0	male
0.4	male
0.2	male
0.2	male
0.4	male
0.2	male
0.2	male
0.5	male
0.2	male
0.0	male
0.0	female
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.2	male
0.0	female
0.0	male
0.0	male
0.2	male
0.3333333333333333	male
0.0	female
0.2	female
0.0	male
0.2	male
0.0	male
0.0	male
0.3333333333333333	male
0.2	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.2	male
0.0	female
0.4	male
1.5	male
0.5	female
0.0	male
0.3333333333333333	male
1.0	male
0.25	male
0.0	female
0.5	male
0.0	male
0.75	male
0.75	male
0.3333333333333333	female
2.2	male
0.0	male
0.25	female
0.0	male
0.0	female
0.75	male
1.0	male
1.25	male
0.0	male
0.5	male
0.5	male
0.0	male
0.0	male
0.2	male
0.5	female
1.2	male
0.0	male
0.0	male
0.5	male
0.25	male
0.25	male
0.25	male
0.5	male
0.5	female
0.25	male
0.2	male
0.0	female
0.0	male
0.0	male
0.0	male
0.0	female
0.0	male
0.0	male
0.0	male
0.0	male
0.0	female
0.0	male
0.0	male
0.0	female
0.0	male
0.0	male
0.0	female
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
1.0	male
0.0	male
0.0	male
0.2	male
0.4	male
0.0	male
0.2	male
0.0	male
0.0	male
0.2	male
0.0	male
0.2	male
1.0	male
1.4	male
0.8	male
0.3333333333333333	male
0.2	female
0.2	male
0.6	male
0.4	male
0.2	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
0.0	male
1.2	male
0.4	male
0.0	male
0.0	male
0.2	male
0.25	female
0.25	male
