EditorYear	EdiPercent	Cohort
1	1.0	4
2	1.0	4
3	0.5	4
4	1.0	4
5	0.0	4
1	0.6923076923076923	4
2	0.6666666666666666	4
3	0.2	4
4	0.0	4
1	0.5	4
2	0.8	4
3	0.75	4
4	0.5	4
5	1.0	4
1	0.8	4
2	1.0	4
3	0.0	4
4	0.7777777777777778	4
5	0.6	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.5	4
4	0.0	4
5	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	1.0	4
5	0.0	4
1	0.0	4
2	0.5	4
3	0.0	4
4	0.0	4
5	1.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
0	0.0	4
1	1.0	4
2	0.6666666666666666	4
3	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
1	0.5	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	1.0	4
1	1.0	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
0	0.0	4
1	0.2	4
2	0.8333333333333334	4
3	0.5	4
4	1.0	4
-4	0.0	4
1	0.5	4
2	0.0	4
3	1.0	4
4	0.0	4
5	1.0	4
1	1.0	4
2	0.5	4
3	0.0	4
4	0.6666666666666666	4
5	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	0.6666666666666666	4
3	0.4	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	1.0	4
3	1.0	4
4	0.0	4
5	0.0	4
1	0.5	4
2	0.0	4
3	1.0	4
4	0.0	4
5	0.0	4
1	1.0	4
2	0.0	4
3	1.0	4
4	0.0	4
5	1.0	4
1	0.7142857142857143	4
2	0.4	4
3	0.0	4
4	1.0	4
5	0.3333333333333333	4
1	0.0	4
2	1.0	4
3	1.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	0.6666666666666666	4
3	0.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.75	4
2	0.8	4
3	0.7142857142857143	4
4	0.6	4
