Year	Total	IssnId
1984	38	6
1985	35	6
1986	31	6
1987	14	6
1988	33	6
1989	29	6
1990	31	6
1991	30	6
1992	32	6
1993	40	6
1994	37	6
1995	37	6
1996	35	6
1997	43	6
1998	39	6
1999	20	6
2000	30	6
2001	18	6
2002	23	6
2003	23	6
2004	27	6
2005	29	6
2006	32	6
2007	26	6
2008	38	6
2009	40	6
2010	40	6
2011	37	6
2012	40	6
2013	47	6
2014	45	6
2015	52	6
2016	78	6
2017	63	6
2018	36	6
2019	30	6
2000	11	326
2001	19	326
2002	24	326
2003	15	326
2004	33	326
2005	14	326
2006	26	326
2007	13	326
2008	19	326
2009	16	326
2010	31	326
2011	22	326
2012	25	326
2013	21	326
2014	21	326
2015	17	326
2016	17	326
2017	15	326
2018	19	326
2019	8	326
2014	21	1366
2015	34	1366
2016	46	1366
2017	38	1366
2018	63	1366
2019	35	1366
