Year	Field	gender	Count
1800	Art	female	7
1800	Art	male	57
1800	Biology	female	18
1800	Biology	male	158
1800	Business	male	6
1800	Chemistry	female	4
1800	Chemistry	male	79
1800	Computer science	female	14
1800	Computer science	male	142
1800	Economics	female	3
1800	Economics	male	16
1800	Engineering	female	4
1800	Engineering	male	83
1800	Environmental science	female	4
1800	Environmental science	male	16
1800	Geography	male	2
1800	Geology	male	22
1800	History	female	3
1800	History	male	107
1800	Materials science	male	22
1800	Mathematics	female	1
1800	Mathematics	male	96
1800	Medicine	female	8
1800	Medicine	male	141
1800	Philosophy	female	12
1800	Philosophy	male	55
1800	Physics	female	6
1800	Physics	male	229
1800	Political science	female	25
1800	Political science	male	149
1800	Psychology	female	35
1800	Psychology	male	42
1800	Sociology	female	3
1800	Sociology	male	4
1801	Art	female	9
1801	Art	male	60
1801	Biology	female	13
1801	Biology	male	113
1801	Business	male	5
1801	Chemistry	female	4
1801	Chemistry	male	67
1801	Computer science	female	11
1801	Computer science	male	118
1801	Economics	female	2
1801	Economics	male	12
1801	Engineering	female	3
1801	Engineering	male	72
1801	Environmental science	female	3
1801	Environmental science	male	8
1801	Geography	male	1
1801	Geology	male	20
1801	History	female	2
1801	History	male	42
1801	Materials science	male	21
1801	Mathematics	female	1
1801	Mathematics	male	60
1801	Medicine	female	7
1801	Medicine	male	191
1801	Philosophy	female	10
1801	Philosophy	male	49
1801	Physics	female	5
1801	Physics	male	178
1801	Political science	female	16
1801	Political science	male	104
1801	Psychology	female	26
1801	Psychology	male	33
1801	Sociology	female	2
1801	Sociology	male	4
1802	Art	female	10
1802	Art	male	67
1802	Biology	female	18
1802	Biology	male	131
1802	Business	male	4
1802	Chemistry	female	4
1802	Chemistry	male	68
1802	Computer science	female	12
1802	Computer science	male	124
1802	Economics	female	2
1802	Economics	male	11
1802	Engineering	female	3
1802	Engineering	male	70
1802	Environmental science	female	3
1802	Environmental science	male	10
1802	Geography	male	1
1802	Geology	male	22
1802	History	female	1
1802	History	male	59
1802	Materials science	male	21
1802	Mathematics	female	1
1802	Mathematics	male	55
1802	Medicine	female	7
1802	Medicine	male	111
1802	Philosophy	female	13
1802	Philosophy	male	58
1802	Physics	female	6
1802	Physics	male	190
1802	Political science	female	17
1802	Political science	male	106
1802	Psychology	female	27
1802	Psychology	male	32
1802	Sociology	female	2
1802	Sociology	male	4
1803	Art	female	10
1803	Art	male	74
1803	Biology	female	16
1803	Biology	male	138
1803	Business	female	1
1803	Business	male	5
1803	Chemistry	female	4
1803	Chemistry	male	71
1803	Computer science	female	11
1803	Computer science	male	127
1803	Economics	female	2
1803	Economics	male	11
1803	Engineering	female	3
1803	Engineering	male	71
1803	Environmental science	female	3
1803	Environmental science	male	11
1803	Geography	male	1
1803	Geology	male	19
1803	History	female	2
1803	History	male	51
1803	Materials science	male	22
1803	Mathematics	female	1
1803	Mathematics	male	75
1803	Medicine	female	7
1803	Medicine	male	117
1803	Philosophy	female	12
1803	Philosophy	male	75
1803	Physics	female	6
1803	Physics	male	187
1803	Political science	female	16
1803	Political science	male	118
1803	Psychology	female	26
1803	Psychology	male	28
1803	Sociology	female	2
1803	Sociology	male	6
1804	Art	female	10
1804	Art	male	78
1804	Biology	female	17
1804	Biology	male	143
1804	Business	male	7
1804	Chemistry	female	4
1804	Chemistry	male	72
1804	Computer science	female	11
1804	Computer science	male	120
1804	Economics	female	2
1804	Economics	male	12
1804	Engineering	female	3
1804	Engineering	male	70
1804	Environmental science	female	3
1804	Environmental science	male	9
1804	Geography	male	1
1804	Geology	male	19
1804	History	female	1
1804	History	male	66
1804	Materials science	male	21
1804	Mathematics	female	2
1804	Mathematics	male	66
1804	Medicine	female	7
1804	Medicine	male	117
1804	Philosophy	female	13
1804	Philosophy	male	79
1804	Physics	female	7
1804	Physics	male	189
1804	Political science	female	16
1804	Political science	male	126
1804	Psychology	female	26
1804	Psychology	male	31
1804	Sociology	female	2
1804	Sociology	male	4
1805	Art	female	10
1805	Art	male	75
1805	Biology	female	20
1805	Biology	male	144
1805	Business	male	8
1805	Chemistry	female	4
1805	Chemistry	male	75
1805	Computer science	female	11
1805	Computer science	male	125
1805	Economics	female	2
1805	Economics	male	11
1805	Engineering	female	3
