Year	Field	gender	Count
1919	Biology	male	1
1920	Biology	male	1
1921	Biology	male	1
1922	Biology	male	1
1923	Biology	male	1
1924	Biology	male	1
1925	Biology	male	1
1949	Medicine	male	1
1954	Physics	male	1
1955	Physics	male	1
1956	Medicine	male	2
1956	Physics	male	1
1957	Medicine	male	1
1957	Physics	male	4
1958	Medicine	male	3
1958	Physics	male	3
1959	Biology	male	1
1959	Chemistry	male	1
1959	Medicine	male	4
1959	Physics	male	4
1960	Medicine	male	5
1960	Physics	male	3
1961	Chemistry	male	1
1961	Medicine	male	6
1961	Physics	male	4
1962	Chemistry	male	2
1962	Medicine	male	5
1962	Physics	male	2
1963	Chemistry	male	1
1963	Medicine	male	5
1963	Physics	male	4
1964	Biology	male	4
1964	Chemistry	male	1
1964	Medicine	male	6
1964	Physics	male	3
1965	Biology	male	2
1965	Medicine	male	8
1965	Physics	male	5
1966	Biology	male	4
1966	Chemistry	male	2
1966	Medicine	male	7
1966	Physics	male	5
1966	Psychology	male	1
1967	Biology	male	5
1967	Chemistry	male	2
1967	Geology	male	1
1967	Medicine	male	6
1967	Physics	male	5
1968	Biology	male	6
1968	Chemistry	male	2
1968	Medicine	male	6
1968	Physics	male	6
1969	Biology	male	9
1969	Chemistry	male	2
1969	Mathematics	male	1
1969	Medicine	male	6
1969	Physics	male	6
1970	Biology	male	8
1970	Chemistry	male	3
1970	Mathematics	male	1
1970	Medicine	male	7
1970	Physics	male	8
1970	Psychology	male	1
1971	Biology	male	12
1971	Business	male	2
1971	Chemistry	male	4
1971	Computer science	male	1
1971	Materials science	male	1
1971	Mathematics	male	2
1971	Medicine	female	1
1971	Medicine	male	7
1971	Physics	male	8
1971	Psychology	male	1
1972	Biology	male	9
1972	Chemistry	male	4
1972	Computer science	male	2
1972	Materials science	male	2
1972	Mathematics	male	2
1972	Medicine	male	8
1972	Physics	male	10
1972	Psychology	male	1
1973	Biology	female	1
1973	Biology	male	16
1973	Chemistry	male	4
1973	Computer science	male	2
1973	Materials science	male	4
1973	Mathematics	male	3
1973	Medicine	male	8
1973	Physics	male	10
1973	Psychology	male	1
1974	Biology	female	1
1974	Biology	male	20
1974	Chemistry	male	5
1974	Computer science	male	3
1974	Materials science	male	2
1974	Mathematics	male	3
1974	Medicine	male	10
1974	Physics	male	12
1974	Political science	male	1
1974	Psychology	male	2
1975	Biology	female	1
1975	Biology	male	18
1975	Business	male	1
1975	Chemistry	male	6
1975	Computer science	male	2
1975	Geology	male	1
1975	Materials science	male	4
1975	Mathematics	male	4
1975	Medicine	male	10
1975	Physics	male	14
1975	Political science	male	1
1975	Psychology	male	2
1976	Biology	female	1
1976	Biology	male	18
1976	Business	male	1
1976	Chemistry	male	6
1976	Computer science	male	3
1976	Economics	male	1
1976	Geology	male	1
1976	Materials science	male	2
1976	Mathematics	male	4
1976	Medicine	male	11
1976	Physics	male	12
1976	Political science	male	1
1976	Psychology	male	2
1977	Biology	female	2
1977	Biology	male	27
1977	Business	male	3
1977	Chemistry	male	6
1977	Computer science	male	3
1977	Economics	male	1
1977	Geology	male	1
1977	Materials science	male	2
1977	Mathematics	male	3
1977	Medicine	male	11
1977	Philosophy	male	1
1977	Physics	male	12
1977	Political science	male	1
1977	Psychology	male	3
1978	Biology	female	1
1978	Biology	male	25
1978	Business	male	3
1978	Chemistry	male	5
1978	Computer science	male	3
1978	Economics	male	1
1978	Geology	male	1
1978	Materials science	male	2
1978	Mathematics	male	3
1978	Medicine	male	11
1978	Philosophy	male	1
1978	Physics	male	11
1978	Political science	male	1
1978	Psychology	male	5
1979	Biology	male	22
1979	Business	male	2
1979	Chemistry	male	6
1979	Computer science	female	1
1979	Computer science	male	6
1979	Economics	male	1
1979	Geology	male	1
1979	Materials science	male	2
1979	Mathematics	male	4
1979	Medicine	male	14
1979	Philosophy	male	1
1979	Physics	male	13
1979	Political science	male	1
1979	Psychology	male	5
1980	Biology	male	24
1980	Business	male	2
1980	Chemistry	male	4
1980	Computer science	female	1
1980	Computer science	male	5
1980	Economics	male	1
1980	Geology	male	1
1980	Materials science	male	2
1980	Mathematics	male	5
1980	Medicine	female	1
1980	Medicine	male	15
1980	Philosophy	male	1
1980	Physics	male	15
1980	Political science	male	1
1980	Psychology	male	4
1981	Biology	female	1
1981	Biology	male	31
1981	Business	male	2
1981	Chemistry	male	4
1981	Computer science	female	1
1981	Computer science	male	8
1981	Economics	male	1
1981	Geology	male	1
1981	Materials science	male	3
1981	Mathematics	male	6
1981	Medicine	male	18
1981	Philosophy	male	1
1981	Physics	male	17
1981	Political science	male	3
1981	Psychology	male	6
1982	Biology	female	2
1982	Biology	male	34
1982	Business	male	2
1982	Chemistry	male	4
1982	Computer science	female	1
1982	Computer science	male	10
1982	Economics	male	2
1982	Geology	male	1
1982	Materials science	male	2
1982	Mathematics	male	6
1982	Medicine	male	22
1982	Philosophy	male	1
1982	Physics	male	15
1982	Political science	male	3
1982	Psychology	male	6
1983	Biology	female	1
1983	Biology	male	35
1983	Business	male	1
1983	Chemistry	male	5
1983	Computer science	female	1
1983	Computer science	male	21
1983	Economics	male	2
1983	Geology	male	1
1983	Materials science	male	2
1983	Mathematics	male	7
1983	Medicine	male	23
1983	Philosophy	male	1
1983	Physics	male	16
1983	Political science	male	3
1983	Psychology	male	7
1984	Biology	male	37
1984	Business	male	1
1984	Chemistry	male	6
1984	Computer science	female	1
1984	Computer science	male	10
1984	Economics	male	2
1984	Geology	male	3
1984	Materials science	male	3
1984	Mathematics	male	6
1984	Medicine	male	23
1984	Philosophy	male	1
1984	Physics	male	19
1984	Political science	male	3
1984	Psychology	male	7
1985	Biology	male	39
1985	Business	male	1
1985	Chemistry	male	6
1985	Computer science	female	1
1985	Computer science	male	13
1985	Economics	male	3
1985	Engineering	male	1
1985	Geology	female	1
1985	Geology	male	2
1985	Materials science	male	2
1985	Mathematics	male	8
1985	Medicine	female	1
1985	Medicine	male	24
1985	Philosophy	male	1
1985	Physics	male	23
1985	Political science	male	3
1985	Psychology	male	6
1986	Biology	male	41
1986	Business	male	1
1986	Chemistry	male	6
1986	Computer science	female	1
1986	Computer science	male	8
1986	Economics	male	5
1986	Engineering	male	2
1986	Geology	male	4
1986	Materials science	male	3
1986	Mathematics	male	8
1986	Medicine	female	2
1986	Medicine	male	32
1986	Philosophy	male	1
1986	Physics	male	27
1986	Political science	male	3
1986	Psychology	male	7
1987	Biology	female	1
1987	Biology	male	55
1987	Business	male	1
1987	Chemistry	male	6
1987	Computer science	female	1
1987	Computer science	male	13
1987	Economics	male	3
1987	Engineering	male	2
1987	Geology	male	4
1987	Materials science	male	3
1987	Mathematics	male	8
1987	Medicine	female	3
1987	Medicine	male	31
1987	Philosophy	male	1
1987	Physics	male	28
1987	Political science	male	3
1987	Psychology	male	6
1988	Biology	female	1
1988	Biology	male	46
1988	Business	male	1
1988	Chemistry	male	6
1988	Computer science	female	1
1988	Computer science	male	16
1988	Economics	male	3
1988	Engineering	male	2
1988	Geology	male	4
1988	Materials science	male	4
1988	Mathematics	male	11
1988	Medicine	female	1
1988	Medicine	male	32
1988	Philosophy	male	1
1988	Physics	male	29
1988	Political science	male	3
1988	Psychology	male	6
1988	Sociology	male	1
1989	Biology	female	1
1989	Biology	male	54
1989	Business	male	2
1989	Chemistry	male	5
1989	Computer science	female	1
1989	Computer science	male	17
1989	Economics	male	4
1989	Engineering	male	2
1989	Geology	male	3
1989	Materials science	male	6
1989	Mathematics	male	13
1989	Medicine	female	2
1989	Medicine	male	34
1989	Philosophy	male	1
1989	Physics	male	29
1989	Political science	male	3
1989	Psychology	male	6
1989	Sociology	male	1
1990	Biology	female	3
1990	Biology	male	55
1990	Business	male	3
1990	Chemistry	male	6
1990	Computer science	female	1
1990	Computer science	male	18
1990	Economics	male	6
1990	Engineering	male	1
1990	Geology	male	3
1990	Materials science	male	4
1990	Mathematics	male	15
1990	Medicine	female	1
1990	Medicine	male	33
1990	Philosophy	male	1
1990	Physics	male	28
1990	Political science	male	3
1990	Psychology	male	6
1990	Sociology	male	1
1991	Biology	female	1
1991	Biology	male	59
1991	Business	male	2
1991	Chemistry	male	6
1991	Computer science	female	1
1991	Computer science	male	21
1991	Economics	male	7
1991	Engineering	male	1
1991	Geology	male	3
1991	Materials science	male	11
1991	Mathematics	male	13
1991	Medicine	female	3
1991	Medicine	male	57
1991	Philosophy	male	2
1991	Physics	male	28
1991	Political science	male	4
1991	Psychology	male	7
1991	Sociology	male	1
1992	Biology	female	1
1992	Biology	male	51
1992	Business	male	2
1992	Chemistry	male	8
1992	Computer science	female	1
1992	Computer science	male	21
1992	Economics	male	7
1992	Engineering	male	9
1992	Geology	male	4
1992	Materials science	male	11
1992	Mathematics	male	16
1992	Medicine	female	1
1992	Medicine	male	54
1992	Philosophy	male	1
1992	Physics	male	30
1992	Political science	female	1
1992	Political science	male	6
1992	Psychology	male	5
1992	Sociology	female	1
1992	Sociology	male	2
1993	Biology	female	1
1993	Biology	male	60
1993	Business	male	2
1993	Chemistry	male	6
1993	Computer science	female	2
1993	Computer science	male	24
1993	Economics	male	7
1993	Engineering	male	9
1993	Geology	male	4
1993	Materials science	male	12
1993	Mathematics	male	15
