gender	Field	length
male	Medicine	29
male	Medicine	6
male	Medicine	5
male	Medicine	1
male	Medicine	14
male	Medicine	1
male	Medicine	11
male	Medicine	1
male	Medicine	1
male	Medicine	25
male	Medicine	1
male	Medicine	37
male	Medicine	1
male	Medicine	1
male	Medicine	1
female	Medicine	9
male	Medicine	1
male	Medicine	13
male	Medicine	8
male	Medicine	13
male	Medicine	31
female	Medicine	3
female	Medicine	1
female	Medicine	1
male	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	2
male	Medicine	4
male	Medicine	3
male	Medicine	1
male	Medicine	7
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	2
male	Medicine	7
male	Medicine	3
male	Medicine	6
male	Medicine	1
female	Medicine	1
male	Medicine	2
male	Medicine	1
male	Medicine	2
male	Medicine	1
male	Medicine	3
male	Medicine	2
male	Medicine	2
male	Medicine	2
male	Medicine	2
male	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	12
male	Medicine	3
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	12
female	Medicine	1
male	Medicine	15
male	Medicine	9
male	Medicine	30
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	2
male	Medicine	13
male	Medicine	2
male	Medicine	2
male	Medicine	3
male	Medicine	3
female	Medicine	3
male	Medicine	2
male	Medicine	3
male	Medicine	11
male	Medicine	7
male	Medicine	1
male	Medicine	1
male	Medicine	3
male	Medicine	11
male	Medicine	3
male	Medicine	4
male	Medicine	14
male	Medicine	2
male	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	10
male	Medicine	7
male	Medicine	1
male	Medicine	17
male	Medicine	24
male	Medicine	5
male	Medicine	6
male	Medicine	5
male	Medicine	8
male	Medicine	4
male	Medicine	10
male	Medicine	1
male	Medicine	14
male	Medicine	2
male	Medicine	6
male	Medicine	1
male	Medicine	12
male	Medicine	2
male	Medicine	1
male	Medicine	4
male	Medicine	7
male	Medicine	7
female	Medicine	7
male	Medicine	1
male	Medicine	6
male	Medicine	1
male	Medicine	1
male	Medicine	9
male	Medicine	1
male	Medicine	1
male	Medicine	14
male	Medicine	2
male	Medicine	10
male	Medicine	7
male	Medicine	1
female	Medicine	5
male	Medicine	13
female	Medicine	1
male	Medicine	8
male	Medicine	1
male	Medicine	5
female	Medicine	1
male	Medicine	3
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	3
male	Medicine	25
male	Medicine	8
male	Medicine	4
male	Medicine	1
male	Medicine	3
male	Medicine	2
male	Medicine	13
male	Medicine	21
male	Medicine	3
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
female	Medicine	13
male	Medicine	10
female	Medicine	1
female	Medicine	21
female	Medicine	14
male	Medicine	2
male	Medicine	10
male	Medicine	7
male	Medicine	5
female	Medicine	2
male	Medicine	1
male	Medicine	6
male	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	4
male	Medicine	1
male	Medicine	1
male	Medicine	4
female	Medicine	1
female	Medicine	2
female	Medicine	2
male	Medicine	2
female	Medicine	2
male	Medicine	2
male	Medicine	1
male	Medicine	2
male	Medicine	2
female	Medicine	2
male	Medicine	2
male	Medicine	1
male	Medicine	2
male	Medicine	2
male	Medicine	2
female	Medicine	2
female	Medicine	2
male	Medicine	2
female	Medicine	2
female	Medicine	2
male	Medicine	2
male	Medicine	2
male	Medicine	2
male	Medicine	2
female	Medicine	2
male	Medicine	2
male	Medicine	2
male	Medicine	2
female	Medicine	2
female	Medicine	2
female	Medicine	2
male	Medicine	2
female	Medicine	2
female	Medicine	2
female	Medicine	2
female	Medicine	2
female	Medicine	2
female	Medicine	2
male	Medicine	1
female	Medicine	2
female	Medicine	2
female	Medicine	2
female	Medicine	1
male	Medicine	1
female	Medicine	2
female	Medicine	2
male	Medicine	1
male	Medicine	14
male	Medicine	1
male	Medicine	2
male	Medicine	2
male	Medicine	2
female	Medicine	2
female	Medicine	2
female	Medicine	2
female	Medicine	1
female	Medicine	2
female	Medicine	2
male	Medicine	2
male	Medicine	2
female	Medicine	2
female	Medicine	2
male	Medicine	1
male	Medicine	2
male	Medicine	2
female	Medicine	2
female	Medicine	2
male	Medicine	4
male	Medicine	1
male	Medicine	17
male	Medicine	5
male	Medicine	1
male	Medicine	2
male	Medicine	6
male	Medicine	1
male	Medicine	4
male	Medicine	7
male	Medicine	2
male	Medicine	8
male	Medicine	1
male	Medicine	2
male	Medicine	5
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	2
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	1
male	Medicine	2
male	Medicine	3
male	Medicine	1
male	Medicine	2
male	Medicine	3
male	Medicine	3
male	Medicine	2
male	Medicine	3
male	Medicine	2
male	Medicine	3
male	Medicine	2
male	Medicine	1
male	Medicine	3
male	Medicine	1
male	Medicine	2
male	Medicine	1
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	2
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	2
female	Medicine	1
male	Medicine	46
male	Medicine	2
male	Medicine	44
male	Medicine	12
female	Medicine	1
male	Medicine	1
male	Medicine	9
male	Medicine	4
male	Medicine	2
male	Medicine	1
male	Medicine	3
male	Medicine	10
male	Medicine	1
male	Medicine	4
male	Medicine	3
male	Medicine	1
male	Medicine	1
male	Medicine	3
male	Medicine	5
male	Medicine	1
male	Medicine	10
male	Medicine	5
female	Medicine	1
male	Medicine	2
male	Medicine	14
male	Medicine	1
male	Medicine	18
male	Medicine	1
male	Medicine	3
male	Medicine	5
male	Medicine	4
male	Medicine	3
male	Medicine	11
male	Medicine	12
male	Medicine	3
male	Medicine	3
male	Medicine	1
male	Medicine	21
male	Medicine	4
male	Medicine	3
male	Medicine	5
male	Medicine	6
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	12
male	Medicine	6
male	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	4
male	Medicine	4
male	Medicine	32
male	Medicine	15
male	Medicine	5
male	Medicine	11
male	Medicine	11
male	Medicine	11
male	Medicine	2
male	Medicine	3
male	Medicine	2
male	Medicine	1
male	Medicine	5
male	Medicine	2
male	Medicine	10
male	Medicine	3
male	Medicine	37
female	Medicine	3
male	Medicine	5
male	Medicine	1
male	Medicine	6
female	Medicine	1
male	Medicine	1
female	Medicine	2
male	Medicine	1
female	Medicine	1
male	Medicine	2
male	Medicine	4
male	Medicine	20
male	Medicine	6
female	Medicine	6
male	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	17
male	Medicine	2
male	Medicine	1
male	Medicine	11
male	Medicine	1
male	Medicine	6
female	Medicine	1
female	Medicine	1
female	Medicine	1
female	Medicine	1
male	Medicine	1
male	Medicine	1
female	Medicine	1
female	Medicine	1
male	Medicine	1
male	Medicine	11
male	Medicine	1
male	Medicine	6
male	Medicine	2
male	Medicine	2
male	Medicine	7
female	Medicine	11
male	Medicine	10
male	Medicine	2
male	Medicine	9
male	Medicine	2
male	Medicine	4
male	Medicine	6
male	Medicine	2
male	Medicine	9
male	Medicine	1
male	Medicine	12
male	Medicine	2
male	Medicine	3
male	Medicine	7
male	Medicine	11
male	Medicine	5
male	Medicine	6
female	Medicine	1
male	Medicine	1
male	Medicine	7
male	Medicine	1
male	Medicine	1
male	Medicine	4
male	Medicine	20
male	Medicine	1
male	Medicine	1
male	Medicine	6
female	Medicine	1
male	Medicine	1
male	Medicine	14
male	Medicine	6
male	Medicine	4
male	Medicine	1
male	Medicine	1
male	Medicine	10
male	Medicine	3
male	Medicine	2
male	Medicine	7
male	Medicine	10
male	Medicine	1
male	Medicine	2
male	Medicine	2
male	Medicine	5
male	Medicine	5
male	Medicine	10
male	Medicine	3
male	Medicine	8
female	Medicine	6
female	Medicine	5
female	Medicine	11
male	Medicine	2
male	Medicine	1
male	Medicine	1
female	Medicine	5
male	Medicine	7
male	Medicine	2
male	Medicine	2
male	Medicine	1
male	Medicine	10
male	Medicine	5
male	Medicine	2
male	Medicine	5
male	Medicine	3
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
female	Medicine	1
female	Medicine	1
male	Medicine	1
male	Medicine	9
male	Medicine	4
female	Medicine	1
female	Medicine	3
male	Medicine	3
male	Medicine	1
male	Medicine	5
male	Medicine	3
male	Medicine	5
male	Medicine	4
female	Medicine	4
male	Medicine	4
male	Medicine	4
male	Medicine	1
male	Medicine	4
male	Medicine	4
female	Medicine	3
male	Medicine	2
male	Medicine	4
male	Medicine	4
male	Medicine	1
male	Medicine	13
female	Medicine	4
male	Medicine	4
male	Medicine	4
male	Medicine	4
female	Medicine	1
male	Medicine	2
male	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	5
male	Medicine	5
male	Medicine	5
male	Medicine	5
male	Medicine	5
male	Medicine	5
male	Medicine	5
male	Medicine	5
male	Medicine	5
male	Medicine	5
male	Medicine	5
male	Medicine	1
male	Medicine	5
male	Medicine	5
male	Medicine	5
male	Medicine	5
male	Medicine	10
male	Medicine	1
male	Medicine	4
female	Medicine	1
male	Medicine	8
male	Medicine	5
male	Medicine	1
male	Medicine	2
male	Medicine	11
male	Medicine	11
male	Medicine	4
male	Medicine	2
female	Medicine	1
female	Medicine	2
female	Medicine	1
male	Medicine	1
male	Medicine	4
male	Medicine	2
male	Medicine	5
male	Medicine	1
male	Medicine	1
male	Medicine	7
male	Medicine	5
male	Medicine	2
male	Medicine	4
male	Medicine	2
male	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	7
male	Medicine	2
male	Medicine	4
male	Medicine	4
male	Medicine	1
male	Medicine	6
male	Medicine	1
male	Medicine	2
male	Medicine	2
male	Medicine	3
male	Medicine	1
male	Medicine	13
male	Medicine	1
male	Medicine	9
male	Medicine	3
male	Medicine	4
female	Medicine	2
male	Medicine	4
male	Medicine	6
male	Medicine	9
female	Medicine	3
male	Medicine	22
male	Medicine	23
male	Medicine	7
male	Medicine	5
male	Medicine	1
male	Medicine	4
male	Medicine	20
male	Medicine	19
male	Medicine	4
male	Medicine	15
female	Medicine	4
male	Medicine	1
male	Medicine	4
male	Medicine	3
female	Medicine	4
male	Medicine	1
male	Medicine	9
male	Medicine	5
female	Medicine	5
male	Medicine	5
male	Medicine	13
male	Medicine	2
female	Medicine	2
male	Medicine	8
female	Medicine	3
male	Medicine	7
male	Medicine	7
male	Medicine	2
male	Medicine	6
male	Medicine	3
female	Medicine	4
male	Medicine	8
female	Medicine	2
male	Medicine	4
male	Medicine	2
male	Medicine	7
female	Medicine	2
female	Medicine	7
male	Medicine	2
male	Medicine	7
male	Medicine	3
female	Medicine	4
male	Medicine	2
male	Medicine	9
female	Medicine	2
male	Medicine	4
male	Medicine	4
male	Medicine	4
male	Medicine	1
male	Medicine	8
female	Medicine	5
female	Medicine	4
female	Medicine	4
male	Medicine	4
female	Medicine	4
male	Medicine	6
male	Medicine	6
male	Medicine	6
male	Medicine	2
male	Medicine	8
male	Medicine	2
male	Medicine	5
male	Medicine	4
male	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	5
male	Medicine	1
male	Medicine	1
female	Medicine	14
male	Medicine	5
male	Medicine	8
male	Medicine	2
male	Medicine	4
male	Medicine	6
male	Medicine	2
male	Medicine	2
male	Medicine	2
male	Medicine	5
male	Medicine	2
male	Medicine	7
male	Medicine	4
male	Medicine	2
male	Medicine	6
male	Medicine	4
male	Medicine	6
male	Medicine	4
male	Medicine	8
male	Medicine	2
male	Medicine	3
male	Medicine	2
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	1
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
female	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	1
male	Medicine	6
male	Medicine	1
male	Medicine	1
male	Medicine	6
male	Medicine	1
male	Medicine	1
female	Medicine	1
male	Medicine	1
male	Medicine	4
male	Medicine	2
male	Medicine	1
male	Medicine	8
male	Medicine	2
male	Medicine	2
male	Medicine	2
male	Medicine	1
male	Medicine	2
male	Medicine	2
female	Medicine	1
male	Medicine	4
male	Medicine	13
male	Medicine	1
male	Medicine	15
male	Medicine	13
female	Medicine	2
female	Medicine	1
female	Medicine	1
male	Medicine	9
male	Medicine	8
male	Medicine	2
male	Medicine	14
male	Medicine	2
male	Medicine	3
male	Medicine	3
male	Medicine	12
male	Medicine	2
male	Medicine	11
male	Medicine	4
female	Medicine	4
female	Medicine	4
female	Medicine	2
male	Medicine	4
male	Medicine	1
male	Medicine	4
male	Medicine	2
male	Medicine	4
male	Medicine	3
male	Medicine	4
male	Medicine	4
male	Medicine	10
male	Medicine	5
female	Medicine	4
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	6
male	Medicine	14
male	Medicine	2
male	Medicine	15
male	Medicine	1
male	Medicine	4
female	Medicine	2
male	Medicine	2
male	Medicine	11
female	Medicine	2
male	Medicine	11
male	Medicine	5
male	Medicine	4
male	Medicine	7
male	Medicine	2
male	Medicine	1
female	Medicine	3
female	Medicine	3
female	Medicine	3
female	Medicine	4
male	Medicine	1
male	Medicine	4
female	Medicine	1
female	Medicine	1
male	Medicine	1
male	Medicine	3
male	Medicine	3
male	Medicine	4
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
female	Medicine	1
male	Medicine	2
female	Medicine	1
male	Medicine	4
male	Medicine	6
male	Medicine	5
female	Medicine	1
male	Medicine	4
male	Medicine	4
female	Medicine	1
female	Medicine	1
female	Medicine	1
male	Medicine	1
female	Medicine	1
male	Medicine	1
male	Medicine	1
female	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
female	Medicine	1
female	Medicine	1
male	Medicine	1
male	Medicine	1
female	Medicine	5
male	Medicine	9
male	Medicine	2
male	Medicine	4
male	Medicine	2
male	Medicine	6
male	Medicine	8
male	Medicine	8
male	Medicine	2
male	Medicine	8
male	Medicine	8
male	Medicine	8
male	Medicine	8
male	Medicine	2
male	Medicine	1
male	Medicine	8
male	Medicine	6
male	Medicine	8
male	Medicine	8
male	Medicine	6
male	Medicine	1
male	Medicine	2
male	Medicine	8
male	Medicine	2
male	Medicine	6
male	Medicine	2
male	Medicine	6
male	Medicine	8
male	Medicine	2
male	Medicine	3
male	Medicine	8
male	Medicine	3
male	Medicine	2
male	Medicine	8
male	Medicine	1
male	Medicine	2
male	Medicine	6
male	Medicine	8
male	Medicine	1
male	Medicine	6
male	Medicine	6
male	Medicine	8
female	Medicine	3
male	Medicine	8
male	Medicine	6
male	Medicine	8
male	Medicine	8
male	Medicine	8
male	Medicine	8
male	Medicine	2
male	Medicine	8
male	Medicine	8
male	Medicine	1
male	Medicine	3
male	Medicine	5
male	Medicine	4
male	Medicine	8
male	Medicine	7
male	Medicine	4
female	Medicine	4
male	Medicine	4
male	Medicine	4
male	Medicine	11
male	Medicine	10
male	Medicine	1
male	Medicine	4
male	Medicine	4
male	Medicine	1
male	Medicine	2
male	Medicine	4
male	Medicine	8
male	Medicine	4
male	Medicine	2
male	Medicine	8
male	Medicine	6
male	Medicine	2
male	Medicine	4
male	Medicine	3
male	Medicine	1
male	Medicine	12
male	Medicine	1
male	Medicine	2
male	Medicine	1
male	Medicine	4
male	Medicine	11
male	Medicine	9
male	Medicine	2
male	Medicine	2
male	Medicine	8
male	Medicine	1
male	Medicine	5
female	Medicine	5
male	Medicine	1
male	Medicine	1
male	Medicine	1
female	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	1
female	Medicine	7
male	Medicine	4
male	Medicine	4
male	Medicine	8
male	Medicine	6
male	Medicine	6
male	Medicine	1
female	Medicine	4
female	Medicine	4
female	Medicine	1
male	Medicine	4
male	Medicine	4
male	Medicine	1
female	Medicine	4
male	Medicine	4
male	Medicine	4
male	Medicine	6
male	Medicine	1
male	Medicine	4
female	Medicine	4
male	Medicine	1
male	Medicine	12
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	4
male	Medicine	1
male	Medicine	6
male	Medicine	6
male	Medicine	6
male	Medicine	6
male	Medicine	6
male	Medicine	6
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	4
male	Medicine	7
male	Medicine	2
male	Medicine	1
male	Medicine	3
male	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	2
male	Medicine	3
male	Medicine	1
male	Medicine	5
male	Medicine	1
male	Medicine	1
male	Medicine	7
male	Medicine	6
male	Medicine	2
male	Medicine	1
male	Medicine	2
female	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	2
male	Medicine	1
male	Medicine	1
female	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	3
male	Medicine	3
male	Medicine	2
male	Medicine	2
female	Medicine	1
male	Medicine	2
male	Medicine	1
male	Medicine	4
male	Medicine	1
female	Medicine	1
male	Medicine	1
male	Medicine	1
female	Medicine	1
male	Medicine	1
male	Medicine	4
male	Medicine	1
male	Medicine	4
male	Medicine	4
female	Medicine	4
male	Medicine	3
male	Medicine	1
male	Medicine	1
male	Medicine	4
female	Medicine	1
male	Medicine	1
female	Medicine	1
male	Medicine	1
female	Medicine	1
male	Medicine	1
male	Medicine	4
male	Medicine	1
male	Medicine	1
male	Medicine	4
male	Medicine	4
male	Medicine	1
male	Medicine	3
male	Medicine	3
male	Medicine	7
male	Medicine	4
female	Medicine	1
female	Medicine	1
male	Medicine	1
male	Medicine	1
female	Medicine	1
female	Medicine	2
female	Medicine	2
female	Medicine	1
male	Medicine	1
female	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	2
male	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	2
male	Medicine	3
male	Medicine	3
male	Medicine	4
male	Medicine	1
male	Medicine	3
female	Medicine	5
male	Medicine	6
female	Medicine	5
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	3
male	Medicine	2
male	Medicine	2
male	Medicine	2
male	Medicine	2
male	Medicine	2
male	Medicine	2
female	Medicine	2
female	Medicine	2
male	Medicine	1
male	Medicine	3
male	Medicine	4
male	Medicine	2
male	Medicine	2
male	Medicine	2
male	Medicine	4
female	Medicine	4
female	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	3
male	Medicine	2
male	Biology	1
male	Biology	5
female	Biology	2
male	Biology	2
male	Biology	2
male	Biology	2
male	Biology	2
male	Biology	2
female	Biology	1
female	Biology	3
male	Biology	1
male	Biology	3
male	Biology	2
male	Biology	2
female	Biology	7
male	Biology	6
male	Biology	9
male	Biology	1
male	Biology	1
male	Biology	8
male	Biology	8
male	Biology	1
male	Biology	1
male	Biology	1
male	Biology	7
male	Biology	6
male	Biology	2
male	Biology	1
male	Biology	3
male	Biology	1
male	Biology	2
male	Biology	7
male	Biology	1
male	Biology	10
male	Biology	1
male	Biology	10
male	Biology	6
male	Biology	2
male	Biology	9
male	Biology	1
male	Biology	4
male	Biology	6
male	Biology	3
male	Biology	41
male	Biology	1
male	Biology	1
male	Biology	3
male	Biology	1
male	Biology	1
male	Biology	2
male	Biology	3
male	Biology	7
male	Biology	6
male	Biology	5
female	Biology	1
male	Biology	1
male	Biology	1
male	Biology	5
male	Biology	2
male	Biology	1
male	Biology	5
male	Biology	2
female	Biology	3
male	Biology	1
male	Biology	6
male	Biology	3
male	Biology	4
male	Biology	1
male	Biology	1
male	Biology	1
male	Biology	18
male	Biology	1
male	Biology	3
male	Biology	5
male	Biology	1
male	Biology	2
male	Biology	1
male	Biology	7
female	Biology	1
male	Biology	21
male	Biology	5
male	Biology	1
male	Biology	1
male	Biology	1
male	Biology	1
male	Biology	15
male	Biology	3
male	Biology	1
male	Biology	26
male	Biology	15
male	Biology	1
male	Biology	2
male	Biology	7
male	Biology	1
male	Biology	2
male	Biology	9
male	Biology	1
female	Biology	1
male	Biology	7
male	Biology	5
female	Biology	6
male	Biology	8
male	Biology	3
male	Biology	2
male	Biology	14
male	Biology	9
male	Biology	1
male	Biology	3
female	Biology	1
male	Biology	1
male	Biology	2
female	Biology	1
male	Biology	3
male	Biology	3
male	Biology	2
male	Biology	3
male	Biology	3
male	Biology	1
male	Biology	1
male	Biology	1
male	Biology	1
male	Biology	17
male	Biology	7
male	Biology	1
male	Biology	2
male	Biology	22
male	Biology	4
male	Biology	7
male	Biology	1
male	Biology	3
male	Biology	8
male	Biology	14
male	Biology	1
male	Biology	1
male	Biology	1
male	Biology	1
male	Biology	1
male	Biology	12
male	Biology	2
