gender	Field	length
male	Medicine	7
male	Medicine	5
female	Medicine	1
male	Medicine	3
male	Medicine	1
female	Medicine	6
male	Medicine	1
male	Medicine	18
male	Medicine	1
male	Medicine	1
male	Medicine	3
male	Medicine	3
male	Medicine	7
male	Medicine	5
male	Medicine	2
male	Medicine	2
male	Medicine	2
male	Medicine	1
male	Medicine	19
male	Medicine	2
male	Medicine	5
male	Medicine	5
male	Medicine	9
male	Medicine	1
male	Medicine	7
male	Medicine	1
male	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	2
male	Medicine	7
male	Medicine	1
female	Medicine	2
male	Medicine	1
female	Medicine	1
female	Medicine	4
male	Medicine	7
male	Medicine	2
male	Medicine	46
male	Medicine	9
male	Medicine	7
male	Medicine	5
male	Medicine	3
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	2
male	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	10
male	Medicine	4
male	Medicine	1
male	Medicine	2
female	Medicine	2
male	Medicine	7
male	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	9
male	Medicine	1
male	Medicine	15
male	Medicine	1
male	Medicine	1
male	Medicine	6
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	13
male	Medicine	1
male	Medicine	19
male	Medicine	10
male	Medicine	8
male	Medicine	1
female	Medicine	1
male	Medicine	1
male	Medicine	1
female	Medicine	1
female	Medicine	1
female	Medicine	7
female	Medicine	1
male	Medicine	1
female	Medicine	4
female	Medicine	9
male	Medicine	5
male	Medicine	5
male	Medicine	1
male	Medicine	1
male	Medicine	9
male	Medicine	1
male	Medicine	3
male	Medicine	1
male	Medicine	15
male	Medicine	3
male	Medicine	1
male	Medicine	1
female	Medicine	3
female	Medicine	8
female	Medicine	3
male	Medicine	2
male	Medicine	1
male	Medicine	1
female	Medicine	4
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	2
male	Medicine	1
male	Medicine	1
male	Medicine	20
male	Medicine	13
male	Medicine	1
male	Medicine	1
male	Medicine	5
male	Medicine	2
male	Medicine	1
male	Medicine	3
male	Medicine	5
male	Medicine	1
male	Medicine	1
male	Medicine	2
female	Medicine	1
male	Medicine	1
female	Medicine	1
male	Medicine	8
male	Medicine	3
male	Medicine	4
male	Medicine	1
male	Medicine	11
male	Medicine	1
male	Medicine	1
male	Medicine	1
male	Medicine	7
male	Medicine	6
female	Medicine	5
female	Medicine	9
male	Medicine	9
male	Medicine	9
male	Medicine	11
female	Medicine	13
male	Medicine	7
male	Medicine	7
male	Medicine	13
male	Medicine	7
male	Medicine	7
male	Medicine	7
male	Psychology	3
male	Psychology	1
male	Psychology	1
male	Psychology	42
male	Psychology	13
male	Psychology	1
male	Psychology	1
male	Psychology	7
male	Psychology	5
male	Psychology	1
male	Psychology	3
female	Psychology	2
male	Psychology	1
male	Psychology	5
female	Psychology	10
male	Psychology	5
male	Psychology	4
female	Psychology	14
male	Psychology	6
male	Psychology	5
female	Psychology	3
male	Psychology	14
male	Psychology	10
male	Psychology	8
male	Psychology	4
male	Psychology	14
male	Psychology	14
male	Psychology	14
male	Psychology	9
male	Psychology	9
male	Psychology	10
male	Psychology	5
male	Psychology	10
male	Psychology	10
male	Psychology	14
male	Psychology	4
male	Psychology	14
male	Psychology	14
male	Psychology	5
male	Psychology	14
female	Psychology	14
male	Biology	1
male	Biology	1
male	Biology	3
male	Biology	6
male	Biology	1
male	Biology	1
male	Biology	1
male	Biology	1
male	Biology	25
male	Biology	2
male	Biology	3
male	Biology	5
male	Biology	12
male	Biology	1
female	Biology	13
male	Biology	9
male	Biology	3
male	Biology	4
male	Mathematics	1
