Field	Year	gender
Medicine	1970	male
Chemistry	1970	male
Medicine	1970	male
Biology	1970	male
Physics	1970	male
Physics	1970	male
Biology	1970	male
Mathematics	1971	male
Economics	1971	male
Medicine	1971	male
Chemistry	1971	male
Mathematics	1971	male
Medicine	1971	male
Physics	1971	male
Psychology	1971	male
Biology	1971	male
Physics	1971	male
Business	1971	male
Physics	1971	male
Chemistry	1971	male
Medicine	1971	male
Economics	1971	male
Physics	1971	male
Physics	1971	male
Physics	1971	male
Physics	1971	male
Chemistry	1971	male
Physics	1971	male
Biology	1971	male
Physics	1971	male
Physics	1971	male
Economics	1971	male
Biology	1971	male
Economics	1971	male
Biology	1971	male
Biology	1971	male
Physics	1971	female
Psychology	1972	male
Economics	1972	male
Mathematics	1972	male
Economics	1972	male
Biology	1972	male
Physics	1972	male
Physics	1972	male
Economics	1972	male
Medicine	1972	male
Political science	1972	male
Economics	1972	male
Chemistry	1972	male
Mathematics	1972	male
Medicine	1972	male
Physics	1972	male
Political science	1972	male
Psychology	1972	male
Biology	1972	male
Physics	1972	male
Economics	1972	male
Physics	1972	male
Chemistry	1972	male
Medicine	1972	male
Philosophy	1972	male
Physics	1972	male
Physics	1972	male
Physics	1972	male
Chemistry	1972	male
Physics	1972	male
Physics	1972	male
Biology	1972	male
Chemistry	1972	male
Physics	1972	male
Physics	1972	male
Biology	1972	female
Biology	1972	male
Biology	1972	male
Computer science	1972	male
Biology	1972	male
Physics	1972	female
Biology	1973	male
Economics	1973	male
Economics	1973	male
Mathematics	1973	male
Biology	1973	male
Business	1973	male
Economics	1973	male
Chemistry	1973	male
Biology	1973	male
Physics	1973	male
Psychology	1973	male
Physics	1973	male
Economics	1973	male
Economics	1973	male
Economics	1973	male
Medicine	1973	male
Medicine	1973	male
Biology	1973	male
Biology	1973	female
Political science	1973	male
Biology	1973	male
Economics	1973	male
Chemistry	1973	male
Mathematics	1973	male
Political science	1973	male
Medicine	1973	male
Physics	1973	male
Political science	1973	male
Psychology	1973	male
Biology	1973	male
Physics	1973	male
Economics	1973	male
Biology	1973	male
Physics	1973	male
Chemistry	1973	male
Biology	1973	male
Medicine	1973	male
Economics	1973	male
Philosophy	1973	male
Economics	1973	male
Physics	1973	male
Physics	1973	male
Mathematics	1973	male
Physics	1973	male
Physics	1973	male
Chemistry	1973	male
Physics	1973	male
Physics	1973	male
Economics	1973	male
Economics	1973	male
Biology	1973	male
Chemistry	1973	male
Physics	1973	male
Physics	1973	male
Physics	1973	male
Biology	1973	male
Physics	1973	male
Engineering	1973	male
Medicine	1973	male
Biology	1973	female
Biology	1973	male
Biology	1973	male
Mathematics	1973	male
Economics	1973	male
Computer science	1973	male
Physics	1973	male
Biology	1973	male
Physics	1973	female
Economics	1974	male
Economics	1974	male
Economics	1974	male
Biology	1974	male
Economics	1974	male
Economics	1974	male
Mathematics	1974	male
Biology	1974	male
Business	1974	male
Economics	1974	male
Mathematics	1974	male
Economics	1974	male
Mathematics	1974	male
Chemistry	1974	male
Economics	1974	male
Biology	1974	male
Physics	1974	male
Psychology	1974	male
Economics	1974	male
Economics	1974	male
Physics	1974	male
Economics	1974	male
Economics	1974	male
Economics	1974	male
Economics	1974	male
Psychology	1974	male
Political science	1974	male
Mathematics	1974	male
Psychology	1974	male
Medicine	1974	male
Mathematics	1974	male
Medicine	1974	male
Biology	1974	male
Biology	1974	female
