Field	Year	gender
Biology	1970	male
Biology	1970	male
Biology	1971	male
Biology	1971	male
Physics	1971	male
Physics	1971	male
Economics	1971	male
Biology	1971	male
Biology	1972	male
Biology	1972	male
Physics	1972	male
Computer science	1972	male
Physics	1972	male
Biology	1972	male
Biology	1973	male
Biology	1973	male
Physics	1973	male
Computer science	1973	male
Physics	1973	male
Biology	1973	male
Biology	1973	male
Biology	1974	male
Biology	1974	male
Physics	1974	male
Political science	1974	male
Computer science	1974	male
Physics	1974	male
Biology	1974	male
Biology	1975	male
Mathematics	1975	male
Biology	1975	male
Physics	1975	male
Political science	1975	male
Geology	1975	male
Computer science	1975	male
Physics	1975	male
Biology	1975	male
Biology	1976	male
Economics	1976	male
Mathematics	1976	male
Physics	1976	male
Political science	1976	male
Geology	1976	male
Computer science	1976	male
Physics	1976	male
Biology	1976	male
Biology	1976	male
Medicine	1976	male
Engineering	1976	male
Chemistry	1977	male
Biology	1977	male
Economics	1977	male
Mathematics	1977	male
Mathematics	1977	male
Physics	1977	male
Political science	1977	male
Geology	1977	male
Computer science	1977	male
Physics	1977	male
Biology	1977	male
Biology	1977	male
Biology	1977	male
Medicine	1977	male
Biology	1977	male
Psychology	1978	female
Political science	1978	male
Chemistry	1978	male
Biology	1978	male
Biology	1978	male
Economics	1978	male
Mathematics	1978	male
Mathematics	1978	male
Geology	1978	male
Physics	1978	male
Political science	1978	male
Geology	1978	male
Computer science	1978	male
Physics	1978	male
Biology	1978	male
Biology	1978	male
Biology	1978	male
Biology	1978	male
Medicine	1978	male
Biology	1978	male
Political science	1979	male
Computer science	1979	male
Psychology	1979	female
Economics	1979	male
Psychology	1979	female
Political science	1979	male
Chemistry	1979	male
Biology	1979	male
Biology	1979	male
Economics	1979	male
Economics	1979	male
Mathematics	1979	male
Mathematics	1979	male
Mathematics	1979	male
Economics	1979	male
Computer science	1979	male
Geology	1979	male
Economics	1979	female
Physics	1979	male
Political science	1979	male
Geology	1979	male
Computer science	1979	male
Biology	1979	male
Biology	1979	male
Biology	1979	male
Biology	1979	male
Economics	1979	male
Engineering	1979	male
Medicine	1979	male
Biology	1979	male
Biology	1979	male
Mathematics	1979	male
Economics	1979	male
Political science	1980	male
