	affiliation	affiliationMag	if_same
6	md los angeles, ca	university of california los angeles	0
7	department of psychology oxford brookes university headington campus gipsy lane oxford ox3 0bp, uk	university of oxford	0
10	concordia university rosemary l. meszaros western kentucky university c. radcliff kent state university l. stebbins consulting services for education c. stewart dominica	concordia university wisconsin	0
11	senior lecturer, department of child health and associate dean, postgraduate school, wales college of medicine, cardiff university. imaging	university college hospital	0
12	chang gung memorial hospital, taoyuan, taiwan	memorial hospital of south bend	0
13	chang gung memorial hospital, taoyuan, taiwan	chang gung university	0
17	open source hardware association (oshwa), boulder, colorado, usa	university of colorado boulder	0
20	pierre et marie curie university paris, france	university of paris	0
24	university teaching hospital lusaka, lusaka, zambia	university college hospital	0
27	dvm, phd (united states	united states department of agriculture	0
28	ibs center for soft and living matter, south korea jeffery c. grossman massachusetts institute of technology, massachusetts, usa	ulsan national institute of science and technology	0
31	hong kong	li ka shing faculty of medicine university of hong kong	0
32	hong kong	university of hong kong	0
33	mak, hong kong	hong kong polytechnic university	0
34	national central university, taoyuan city, taiwan wen-feng hsieh national chiao tung university, hsinchu, taiwan ite a. yu national tsing hua university, hsinchu, taiwan	national taiwan university	0
35	md, frcpc, facp assistant deputy minister for preventive medicine ministry of health riyadh 11176 kingdom of saudi arabia	king saud bin abdulaziz university for health sciences	0
39	university of the german armed forces, munich, germany	bundeswehr university munich	0
40	institute for risk and disaster reduction, university college london, uk	imperial college london	0
42	md, san francisco, calif	university of california san francisco	0
43	and josette sarel 530 technics and activities of the upper palaeolithic people (oriental plaza site of wangfujing, peking, china	zhejiang university of finance and economics	0
44	and josette sarel 530 technics and activities of the upper palaeolithic people (oriental plaza site of wangfujing, peking, china	huazhong university of science and technology	0
45	aalto school of economics finland	hanken school of economics	0
46	j.f. meder, l. picard founded by r. djindjian aeur journal of neuroradiology (issn 0150-9861) 2015 (volume 42) ; 6 issues. france	university of lille nord de france	0
47	j.f. meder, l. picard founded by r. djindjianaeur journal of neuroradiology (issn 0150-9861) 2015 (volume 42) ; 6 issues. france	university of lille nord de france	0
49	professor e. y. rodin g. b. dantzig dept. of computer science dept. of operations research new mexico	new mexico state university	0
51	rwth aachen, templergraben 55 5100 aachen, germany	rwth aachen university	0
53	dalian university of technology, dalian, china	south university of science and technology of china	0
54	dalian university of technology, dalian, china	university of electronic science and technology of china	0
