Discipline	Number of editors	Percentage
Biology	22474	0.27822620580370405
Medicine	17442	0.21593047439833615
Economics	7129	0.08825641279587997
Computer science	6190	0.07663167277409132
Physics	5783	0.07159304743983362
Chemistry	4409	0.05458304446865406
Mathematics	4040	0.05001485589779142
Psychology	3831	0.04742745369911855
Engineering	3024	0.03743686243438645
Political science	2494	0.030875507576507873
Materials science	1354	0.01676240467465584
Geology	1164	0.0144102208576805
Business	861	0.010659106665346143
Philosophy	433	0.005360503119738536
Sociology	148	0.0018322273942755274
