Discipline	Number of editors	Percentage
Biology	3949	0.2004772058076962
Economics	3537	0.17956137678952178
Computer science	2318	0.1176769215148746
Physics	1725	0.08757234236978373
Mathematics	1633	0.08290181744339527
Medicine	1357	0.06889024266422987
Chemistry	1216	0.06173215554878668
Psychology	1039	0.052746471723017566
Political science	786	0.03990252817544929
Engineering	761	0.0386333637932785
Business	398	0.020205096964158797
Materials science	392	0.01990049751243781
Geology	368	0.018682099705553862
Philosophy	122	0.006193522184993401
Sociology	97	0.004924357802822622
