Discipline	Number of editors	Percentage
Biology	27914	0.2711044636960491
Medicine	18005	0.1748669437861777
Physics	9348	0.09078901363583389
Economics	8649	0.0840002330911775
Computer science	8226	0.07989200108775883
Chemistry	7238	0.07029641428071948
Mathematics	5977	0.058049415329629775
Psychology	4248	0.04125713841731091
Engineering	3839	0.03728487626743328
Political science	2875	0.027922380637892857
Geology	2464	0.02393069422322365
Materials science	2240	0.021755176566566954
Business	1155	0.011217512917136086
Philosophy	614	0.005963249291014335
Sociology	172	0.001670486772075677
